relative_path,filename,extension,season,source_type,sheet_count,sheet_names_preview,sample_sheet,sample_rows_preview,notes
Données completes/Données accelerometres/Fall 2019/Behavioral scans - Amir's lameness project.xlsx,Behavioral scans - Amir's lameness project.xlsx,.xlsx,fall 2019,behavior_scan,6,Code used | SCAN template | SCAN week 4 | SCAN week 5  | SCAN week 5.2 | Focus,Code used,"Distance Code | Distance Definition || C | touching/having contact with companion || N | within ""brushing"" distance of companion; within 1 cow-length distance",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_1/Control_1_2019-11-15 13_56_29 -0500.xlsx,Control_1_2019-11-15 13_56_29 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Inside Treatment 1 |  |  |  |  |  |  |  |  |  |  |  |  || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-14 14:09:04 | 13.253447265624999 | 13.253447265624999 | 13.253447265624999 | 13.253447265624999 | 0 | 50.14724956130312 | 50.14724956130312 | 50.14724956130312 | 50.14724956130312 | 0 | 3.1083963673906303",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_1/Control_2_2019-11-15 14_00_19 -0500.xlsx,Control_2_2019-11-15 14_00_19 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Inside Control || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-11 19:07:19 | 12.642116699218747 | 12.642116699218747 | 12.642116699218747 | 12.642116699218747 | 0.0 | 52.07751583123522 | 52.07751583123522 | 52.07751583123522 | 52.07751583123522 | 0.0 | 3.0768278956344832",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_1/Treatment_1_2019-11-15 13_39_33 -0500.xlsx,Treatment_1_2019-11-15 13_39_33 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Inside Control 2 |  |  |  |  |  |  |  |  |  |  |  |  || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-14 14:07:37 | 15.34484130859375 | 15.34484130859375 | 15.34484130859375 | 15.34484130859375 | 0 | 45.024795910582135 | 45.024795910582135 | 45.024795910582135 | 45.024795910582135 | 0 | 3.499527457723284",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_1/Treatment_2_2019-11-15 14_02_20 -0500.xlsx,Treatment_2_2019-11-15 14_02_20 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Inside Treatment  || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-11 19:08:41 | 11.365830078125 | 11.365830078125 | 11.365830078125 | 11.365830078125 | 0.0 | 54.425879301136796 | 54.425879301136796 | 54.425879301136796 | 54.425879301136796 | 0.0 | 2.5126093193775456",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_2/Control 1 2019-11-21 13_35_21 -0500.xlsx,Control 1 2019-11-21 13_35_21 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Control 1 || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-15 13:56:50 | 12.223837890625 | 12.223837890625 | 12.223837890625 | 12.223837890625 | 0.0 | 51.75860227359426 | 51.75860227359426 | 51.75860227359426 | 51.75860227359426 | 0.0 | 2.602868199033455",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_2/Control 2 2019-11-21 13_37_47 -0500.xlsx,Control 2 2019-11-21 13_37_47 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Control 2 || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-15 14:00:45 | 12.674291992187499 | 12.674291992187499 | 12.674291992187499 | 12.674291992187499 | 0.0 | 53.466086823834594 | 53.466086823834594 | 53.466086823834594 | 53.466086823834594 | 0.0 | 3.4789203124772086",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_2/Treatment 1 2019-11-21 13_36_36 -0500.xlsx,Treatment 1 2019-11-21 13_36_36 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Treatment 1 || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-15 13:40:13 | 13.478674316406249 | 13.478674316406249 | 13.478674316406249 | 13.478674316406249 | 0.0 | 51.48699168383307 | 51.48699168383307 | 51.48699168383307 | 51.48699168383307 | 0.0 | 3.6897392746399014",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_2/Treatment 2 2019-11-21 13_40_37 -0500.xlsx,Treatment 2 2019-11-21 13_40_37 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Treatment 2 || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-15 14:02:50 | 11.784108886718748 | 11.784108886718748 | 11.784108886718748 | 11.784108886718748 | 0.0 | 55.297169451438165 | 55.297169451438165 | 55.297169451438165 | 55.297169451438165 | 0.0 | 3.126411311472019",
Données completes/Données accelerometres/Fall 2019/HOBO data/Week_3/Control 1 2019-11-29 08_10_40 -0500.xlsx,Control 1 2019-11-29 08_10_40 -0500.xlsx,.xlsx,fall 2019,environment_hobo,3,DATA | Event Data | Details,DATA,"Plot Title: Control 1 || # | Date Time, GMT -0500 | Temp, °C | Temp - Max, °C | Temp - Min, °C | Temp - Avg, °C | Temp - StdDev, °C | RH, % | RH - Max, % | RH - Min, % | RH - Avg, % | RH - StdDev, % | DewPt, °C || 1 | 2019-11-21 13:35:38 | 15.130339355468749 | 15.130339355468749 | 15.130339355468749 | 15.130339355468749 | 0.0 | 61.229877164873734 | 61.229877164873734 | 61.229877164873734 | 61.229877164873734 | 0.0 | 7.734016375833815",
