layer,season,source_type,extension,relative_path,file_size_mb,rows,cols,n_cows,date_min,date_max,sheet_count,sheet_names_preview,columns_preview
raw_mcgill_complete,Fall 2019,behavior_scan_workbook,.xlsx,Données completes/Données accelerometres/Fall 2019/Behavioral scans - Amir's lameness project.xlsx,0.069,27,2,,,,6,"Code used, SCAN template, SCAN week 4, SCAN week 5 , SCAN week 5.2, Focus","Distance Code, Distance Definition"
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_1/Control_1_2019-11-15 13_56_29 -0500.xlsx,0.059,288,13,,,,3,"DATA, Event Data, Details","Plot Title: Inside Treatment 1, , , , , , , , , , , "
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_1/Control_2_2019-11-15 14_00_19 -0500.xlsx,0.142,,,,,,3,"DATA, Event Data, Details",Plot Title: Inside Control
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_1/Treatment_1_2019-11-15 13_39_33 -0500.xlsx,0.057,285,13,,,,3,"DATA, Event Data, Details","Plot Title: Inside Control 2, , , , , , , , , , , "
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_1/Treatment_2_2019-11-15 14_02_20 -0500.xlsx,0.143,,,,,,3,"DATA, Event Data, Details",Plot Title: Inside Treatment 
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_2/Control 1 2019-11-21 13_35_21 -0500.xlsx,0.217,,,,,,3,"DATA, Event Data, Details",Plot Title: Control 1
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_2/Control 2 2019-11-21 13_37_47 -0500.xlsx,0.215,,,,,,3,"DATA, Event Data, Details",Plot Title: Control 2
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_2/Treatment 1 2019-11-21 13_36_36 -0500.xlsx,0.216,,,,,,3,"DATA, Event Data, Details",Plot Title: Treatment 1
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_2/Treatment 2 2019-11-21 13_40_37 -0500.xlsx,0.215,,,,,,3,"DATA, Event Data, Details",Plot Title: Treatment 2
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_3/Control 1 2019-11-29 08_10_40 -0500.xlsx,0.274,,,,,,3,"DATA, Event Data, Details",Plot Title: Control 1
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_3/Control 2 2019-11-29 08_11_54 -0500.xlsx,0.273,,,,,,3,"DATA, Event Data, Details",Plot Title: Control 2
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_3/Treatment 1 2019-11-29 08_13_03 -0500.xlsx,0.273,,,,,,3,"DATA, Event Data, Details",Plot Title: Treatment 1
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_3/Treatment 2 2019-11-29 08_14_14 -0500.xlsx,0.273,,,,,,3,"DATA, Event Data, Details",Plot Title: Treatment 2
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_4/Control 1 2019-12-06 13_31_53 -0500.xlsx,0.262,,,,,,3,"DATA, Event Data, Details",Plot Title: Control 1
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_4/Control 2 2019-12-06 13_33_00 -0500.xlsx,0.257,,,,,,3,"DATA, Event Data, Details",Plot Title: Control 2
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_4/Treatment 1 2019-12-06 13_34_06 -0500.xlsx,0.257,,,,,,3,"DATA, Event Data, Details",Plot Title: Treatment 1
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_4/Treatment 2 2019-12-06 13_35_09 -0500.xlsx,0.258,,,,,,3,"DATA, Event Data, Details",Plot Title: Treatment 2
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_5/Control 1 2019-12-13 10_26_38 -0500.xlsx,0.248,,,,,,3,"DATA, Event Data, Details",Plot Title: Control 1
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_5/Control 2 2019-12-13 10_27_33 -0500.xlsx,0.244,,,,,,3,"DATA, Event Data, Details",Plot Title: Control 2
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_5/Treatment 1 2019-12-13 10_21_44 -0500.xlsx,0.244,,,,,,3,"DATA, Event Data, Details",Plot Title: Treatment 1
raw_mcgill_complete,Fall 2019,environment_hobo_xlsx,.xlsx,Données completes/Données accelerometres/Fall 2019/HOBO data/Week_5/Treatment 2 2019-12-13 10_23_24 -0500.xlsx,0.292,1980,13,,,,3,"DATA, Event Data, Details","Plot Title: Treatment 2, , , , , , , , , , , "
raw_mcgill_complete,Fall 2019,accelerometer_icetag_workbook_or_mapping,.xlsx,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/@IceTag_Compiled_Lameness.xlsx,52.799,47177,11,,,,30,"821, 2041, 2057, 2062, 2063, 2066, 2078, 2081, 3435, 3437","Cow, Block, Treatment, Week, Date, Time, Motion Index, Standing [t], Lying [t], Steps, Lying Bouts"
