n_bins,if_anomaly_points,problem_points,lameness_points,problem_starts,lameness_starts,lameness_notifs,critique_points,coverage_mean,coverage_min,Cow
3144,193,78,78,10,10,8,17,100.0,100.0,2062
3072,206,92,92,8,8,8,13,100.0,100.0,8517
3141,172,72,72,7,7,7,16,100.0,100.0,5879
3142,222,34,34,7,7,6,5,100.0,100.0,2066
3144,182,47,47,6,6,6,7,100.0,100.0,5865
3144,219,74,74,7,7,5,4,100.0,100.0,5871
3141,177,47,47,6,6,5,7,100.0,100.0,2081
3145,166,56,56,6,6,5,11,100.0,100.0,2041
3072,232,69,69,5,5,5,7,100.0,100.0,8525
3072,182,34,34,5,5,5,8,100.0,100.0,8527
3140,198,19,19,7,7,4,5,100.0,100.0,2063
3145,266,64,64,5,5,4,7,100.0,100.0,5327
3145,218,35,35,5,5,4,3,100.0,100.0,821
3142,204,54,54,5,5,4,5,100.0,100.0,3444
3145,190,33,33,4,4,4,6,100.0,100.0,3437
3144,169,38,38,4,4,4,11,100.0,100.0,2057
3141,198,29,29,4,4,3,3,100.0,100.0,5874
3142,179,32,32,4,4,3,15,100.0,100.0,5875
3145,198,49,49,3,3,3,5,100.0,100.0,5870
3145,177,38,38,3,3,3,7,100.0,100.0,5854
3146,193,30,30,3,3,2,1,100.0,100.0,5862
3072,171,7,7,2,2,2,2,100.0,100.0,8526
3145,168,34,34,2,2,2,3,100.0,100.0,5857
3140,215,11,11,1,1,1,0,100.0,100.0,8501
3072,182,19,19,1,1,1,1,100.0,100.0,8536
3141,158,9,9,1,1,1,0,78.57370264247055,0.0,5872
3140,198,0,0,0,0,0,0,100.0,100.0,2078
3141,183,0,0,0,0,0,0,100.0,100.0,8500
3140,152,0,0,0,0,0,0,100.0,100.0,3435
3072,143,0,0,0,0,0,0,100.0,100.0,8531
