n_bins,if_anomaly_points,problem_points,lameness_points,problem_starts,lameness_starts,lameness_notifs,critique_points,coverage_mean,coverage_min,Cow,SLS_Baseline_Jan2019,SLS_Midway_Mar2019,Statut,Bins_15min,Jours,Debut,Fin,clinical_group
3145,218,35,35,5,5,4,3,100.0,100.0,821,2.0,2.0,boiteuse_persistante,3145,34,2019-11-11,2019-12-14,boiteuse_stricte
3142,204,54,54,5,5,4,5,100.0,100.0,3444,2.0,4.0,boiteuse_aggravee,3142,34,2019-11-11,2019-12-14,boiteuse_stricte
3144,169,38,38,4,4,4,11,100.0,100.0,2057,1.0,2.0,legere_aggravee,3144,34,2019-11-11,2019-12-14,boiteuse_stricte
3141,198,29,29,4,4,3,3,100.0,100.0,5874,2.0,1.0,boiteuse_amelioree,3141,34,2019-11-11,2019-12-14,boiteuse_stricte
3145,168,34,34,2,2,2,3,100.0,100.0,5857,2.0,1.0,boiteuse_amelioree,3145,34,2019-11-11,2019-12-14,boiteuse_stricte
3141,177,47,47,6,6,5,7,100.0,100.0,2081,1.0,,legere,3141,34,2019-11-11,2019-12-14,intermediaire
3140,198,19,19,7,7,4,5,100.0,100.0,2063,1.0,0.0,legere_guerie,3140,34,2019-11-11,2019-12-14,intermediaire
3145,190,33,33,4,4,4,6,100.0,100.0,3437,0.0,1.0,saine_degradee,3145,34,2019-11-11,2019-12-14,intermediaire
3142,179,32,32,4,4,3,15,100.0,100.0,5875,0.0,1.0,saine_degradee,3142,34,2019-11-11,2019-12-14,intermediaire
3141,183,0,0,0,0,0,0,100.0,100.0,8500,0.0,1.0,saine_degradee,3141,34,2019-11-11,2019-12-14,intermediaire
3141,172,72,72,7,7,7,16,100.0,100.0,5879,0.0,0.0,saine,3141,34,2019-11-11,2019-12-14,saine_stricte
3140,198,0,0,0,0,0,0,100.0,100.0,2078,0.0,0.0,saine,3140,34,2019-11-11,2019-12-14,saine_stricte
3144,193,78,78,10,10,8,17,100.0,100.0,2062,,,pas_de_score,3144,34,2019-11-11,2019-12-14,sans_score
3072,206,92,92,8,8,8,13,100.0,100.0,8517,,,pas_de_score,3072,32,2019-11-12,2019-12-13,sans_score
3142,222,34,34,7,7,6,5,100.0,100.0,2066,,,pas_de_score,3142,34,2019-11-11,2019-12-14,sans_score
3144,182,47,47,6,6,6,7,100.0,100.0,5865,,,pas_de_score,3144,34,2019-11-11,2019-12-14,sans_score
3144,219,74,74,7,7,5,4,100.0,100.0,5871,,,pas_de_score,3144,34,2019-11-11,2019-12-14,sans_score
3145,166,56,56,6,6,5,11,100.0,100.0,2041,,,pas_de_score,3145,34,2019-11-11,2019-12-14,sans_score
3072,232,69,69,5,5,5,7,100.0,100.0,8525,,,pas_de_score,3072,32,2019-11-12,2019-12-13,sans_score
3072,182,34,34,5,5,5,8,100.0,100.0,8527,,,pas_de_score,3072,32,2019-11-12,2019-12-13,sans_score
3145,266,64,64,5,5,4,7,100.0,100.0,5327,,,pas_de_score,3145,34,2019-11-11,2019-12-14,sans_score
3145,198,49,49,3,3,3,5,100.0,100.0,5870,,,pas_de_score,3145,34,2019-11-11,2019-12-14,sans_score
3145,177,38,38,3,3,3,7,100.0,100.0,5854,,,pas_de_score,3145,34,2019-11-11,2019-12-14,sans_score
3146,193,30,30,3,3,2,1,100.0,100.0,5862,,,pas_de_score,3146,34,2019-11-11,2019-12-14,sans_score
3072,171,7,7,2,2,2,2,100.0,100.0,8526,,,pas_de_score,3072,32,2019-11-12,2019-12-13,sans_score
3140,215,11,11,1,1,1,0,100.0,100.0,8501,,,pas_de_score,3140,34,2019-11-11,2019-12-14,sans_score
3072,182,19,19,1,1,1,1,100.0,100.0,8536,,,pas_de_score,3072,32,2019-11-12,2019-12-13,sans_score
3141,158,9,9,1,1,1,0,78.57370264247055,0.0,5872,,,pas_de_score,2468,28,2019-11-11,2019-12-14,sans_score
3140,152,0,0,0,0,0,0,100.0,100.0,3435,,,pas_de_score,3140,34,2019-11-11,2019-12-14,sans_score
3072,143,0,0,0,0,0,0,100.0,100.0,8531,,,pas_de_score,3072,32,2019-11-12,2019-12-13,sans_score
