season,date,notifications,cows_alerted,mean_confidence
fall_2019,2019-11-12,8,8,49.2875
fall_2019,2019-11-13,2,2,48.7
fall_2019,2019-11-14,5,5,49.64
fall_2019,2019-11-15,2,2,47.2
fall_2019,2019-11-16,1,1,47.3
fall_2019,2019-11-18,4,4,48.725
fall_2019,2019-11-19,2,2,53.25
fall_2019,2019-11-20,4,4,45.65
fall_2019,2019-11-21,5,5,50.879999999999995
fall_2019,2019-11-22,3,3,51.13333333333333
fall_2019,2019-11-23,3,3,47.06666666666666
fall_2019,2019-11-24,1,1,47.0
fall_2019,2019-11-25,6,6,49.25
fall_2019,2019-11-26,3,3,54.833333333333336
fall_2019,2019-11-27,3,3,46.73333333333333
fall_2019,2019-11-28,3,3,53.06666666666666
fall_2019,2019-11-29,4,4,52.55
fall_2019,2019-11-30,2,2,43.3
fall_2019,2019-12-01,2,2,52.25
fall_2019,2019-12-02,7,7,47.771428571428565
fall_2019,2019-12-04,3,3,51.166666666666664
fall_2019,2019-12-05,7,7,46.271428571428565
fall_2019,2019-12-06,1,1,49.1
fall_2019,2019-12-07,1,1,34.8
fall_2019,2019-12-09,5,5,45.480000000000004
fall_2019,2019-12-10,2,2,46.35
fall_2019,2019-12-11,6,6,47.81666666666666
fall_2019,2019-12-12,3,3,57.26666666666667
fall_2019,2019-12-13,6,6,52.03333333333333
fall_2019,2019-12-14,1,1,48.3
summer_2019,2019-06-05,1,1,47.2
summer_2019,2019-06-06,1,1,46.9
summer_2019,2019-06-08,1,1,49.5
summer_2019,2019-06-09,3,3,46.46666666666667
summer_2019,2019-06-10,2,2,45.1
summer_2019,2019-06-11,2,2,44.35
summer_2019,2019-06-12,1,1,50.1
summer_2019,2019-06-13,1,1,47.6
summer_2019,2019-06-14,4,4,49.375
summer_2019,2019-06-15,1,1,41.9
summer_2019,2019-06-17,2,2,43.75
summer_2019,2019-06-18,1,1,49.4
summer_2019,2019-06-19,1,1,52.3
summer_2019,2019-06-20,2,2,43.8
summer_2019,2019-06-21,3,3,49.833333333333336
summer_2019,2019-06-24,1,1,56.5
summer_2019,2019-06-25,2,2,53.05
summer_2019,2019-06-26,3,3,46.0
summer_2019,2019-06-27,3,3,48.56666666666666
summer_2019,2019-06-28,2,2,52.3
summer_2019,2019-07-01,1,1,50.7
summer_2019,2019-07-03,1,1,48.0
summer_2019,2019-07-04,1,1,47.2
summer_2019,2019-07-05,2,2,42.95
summer_2019,2019-07-08,2,2,52.45
summer_2019,2019-07-09,1,1,57.2
summer_2019,2019-07-10,2,2,53.8
summer_2019,2019-07-11,3,3,48.63333333333333
summer_2019,2019-07-12,1,1,43.1
summer_2019,2019-07-15,3,3,48.36666666666667
summer_2019,2019-07-17,4,4,51.025
summer_2019,2019-07-18,4,4,45.95
summer_2019,2019-07-19,4,4,49.1
summer_2019,2019-07-20,2,2,48.55
summer_2019,2019-07-21,1,1,48.5
summer_2019,2019-07-22,2,2,44.65
summer_2019,2019-07-23,2,2,44.349999999999994
summer_2019,2019-07-24,2,2,38.349999999999994
summer_2019,2019-07-26,2,2,44.75
summer_2019,2019-07-28,1,1,47.0
summer_2019,2019-07-29,3,3,43.36666666666667
summer_2019,2019-07-30,2,2,51.25
summer_2019,2019-08-03,2,2,41.35
summer_2019,2019-08-04,2,2,45.05
summer_2019,2019-08-06,2,2,48.35
summer_2019,2019-08-07,1,1,31.9
summer_2019,2019-08-08,2,2,49.2
summer_2019,2019-08-09,1,1,39.7
summer_2019,2019-08-11,1,1,47.9
summer_2019,2019-08-12,1,1,37.0
summer_2019,2019-08-13,2,2,47.8
summer_2019,2019-08-14,2,2,46.2
summer_2019,2019-08-15,4,4,47.525
summer_2019,2019-08-16,1,1,46.8
summer_2019,2019-08-17,1,1,48.3
summer_2019,2019-08-19,3,3,45.43333333333334
summer_2019,2019-08-20,2,2,41.55
summer_2019,2019-08-21,1,1,47.2
summer_2019,2019-08-24,2,2,47.5
summer_2019,2019-08-25,1,1,42.4
summer_2019,2019-08-26,3,3,42.86666666666667
summer_2019,2019-08-27,1,1,47.1
summer_2019,2019-08-28,1,1,50.7
summer_2019,2019-08-29,1,1,47.2
summer_2019,2019-08-30,3,3,41.56666666666667
summer_2019,2019-08-31,1,1,44.8
summer_2019,2019-09-01,1,1,47.2
summer_2019,2019-09-03,1,1,45.9
summer_2019,2019-09-04,1,1,46.4
winter_2019,2019-01-17,1,1,44.3
winter_2019,2019-01-19,1,1,46.8
winter_2019,2019-01-21,1,1,47.0
winter_2019,2019-01-24,1,1,47.2
winter_2019,2019-01-25,1,1,45.5
winter_2019,2019-01-26,1,1,47.9
winter_2019,2019-01-27,1,1,46.3
winter_2019,2019-01-28,1,1,48.2
winter_2019,2019-01-30,1,1,58.6
winter_2019,2019-02-01,8,8,50.15
winter_2019,2019-02-02,6,6,47.25
winter_2019,2019-02-03,10,9,46.62
winter_2019,2019-02-04,11,11,47.527272727272724
winter_2019,2019-02-05,11,9,50.127272727272725
winter_2019,2019-02-06,8,7,46.7875
winter_2019,2019-02-07,13,12,48.01538461538462
winter_2019,2019-02-08,14,13,48.550000000000004
winter_2019,2019-02-11,6,6,48.916666666666664
winter_2019,2019-02-12,2,1,46.900000000000006
winter_2019,2019-02-13,2,2,48.95
winter_2019,2019-02-14,2,2,50.0
winter_2019,2019-02-15,1,1,47.5
winter_2019,2019-02-18,1,1,57.0
winter_2019,2019-02-20,2,2,49.65
winter_2019,2019-02-21,2,2,53.849999999999994
winter_2019,2019-02-22,1,1,49.5
winter_2019,2019-02-28,1,1,40.5
winter_2019,2019-03-01,3,3,50.26666666666667
winter_2019,2019-03-02,1,1,41.2
winter_2019,2019-03-04,1,1,53.0
winter_2019,2019-03-05,1,1,46.8
winter_2019,2019-03-06,1,1,50.5
winter_2019,2019-03-07,1,1,47.3
winter_2019,2019-03-08,3,3,45.96666666666667
winter_2019,2019-03-12,4,4,44.2
winter_2019,2019-03-14,1,1,41.8
winter_2019,2019-03-15,1,1,46.0
winter_2019,2019-03-17,1,1,57.2
winter_2019,2019-03-19,2,2,49.3
winter_2019,2019-03-20,2,2,46.150000000000006
winter_2019,2019-03-25,1,1,44.2
winter_2019,2019-03-26,3,3,51.1
winter_2019,2019-03-28,2,2,50.7
winter_2019,2019-03-29,1,1,46.7
winter_2019,2019-03-30,1,1,45.3
winter_2019,2019-03-31,1,1,46.4
winter_2019,2019-04-01,1,1,46.8
winter_2019,2019-04-02,2,2,54.0
winter_2019,2019-04-03,2,2,46.4
winter_2019,2019-04-05,1,1,47.7
winter_2019,2019-04-08,1,1,44.9
winter_2019,2019-04-11,1,1,46.5
fall_2021,2021-12-01,2,2,52.7
fall_2021,2021-12-02,1,1,58.1
fall_2021,2021-12-03,1,1,49.4
