season,Cow,n_intervals,first_T,last_T,mean_coverage_pct,min_coverage_pct,low_coverage_rows,low_coverage_notifications
fall_2019,5872,3141,2019-11-11 18:45:00,2019-12-14 11:45:00,78.57370264247055,0.0,673,0
fall_2019,2041,3145,2019-11-11 18:45:00,2019-12-14 12:45:00,100.0,100.0,0,0
fall_2019,2057,3144,2019-11-11 18:45:00,2019-12-14 12:30:00,100.0,100.0,0,0
fall_2019,2062,3144,2019-11-11 18:45:00,2019-12-14 12:30:00,100.0,100.0,0,0
fall_2019,2063,3140,2019-11-11 18:45:00,2019-12-14 11:30:00,100.0,100.0,0,0
fall_2019,2066,3142,2019-11-11 18:45:00,2019-12-14 12:00:00,100.0,100.0,0,0
fall_2019,2078,3140,2019-11-11 18:45:00,2019-12-14 11:30:00,100.0,100.0,0,0
fall_2019,2081,3141,2019-11-11 18:45:00,2019-12-14 11:45:00,100.0,100.0,0,0
fall_2019,3435,3140,2019-11-11 18:45:00,2019-12-14 11:30:00,100.0,100.0,0,0
fall_2019,3437,3145,2019-11-11 18:45:00,2019-12-14 12:45:00,100.0,100.0,0,0
fall_2019,3444,3142,2019-11-11 18:45:00,2019-12-14 12:00:00,100.0,100.0,0,0
fall_2019,5327,3145,2019-11-11 18:45:00,2019-12-14 12:45:00,100.0,100.0,0,0
fall_2019,5854,3145,2019-11-11 18:45:00,2019-12-14 12:45:00,100.0,100.0,0,0
fall_2019,5857,3145,2019-11-11 18:45:00,2019-12-14 12:45:00,100.0,100.0,0,0
fall_2019,5862,3146,2019-11-11 18:45:00,2019-12-14 13:00:00,100.0,100.0,0,0
fall_2019,5865,3144,2019-11-11 18:45:00,2019-12-14 12:30:00,100.0,100.0,0,0
fall_2019,5870,3145,2019-11-11 18:45:00,2019-12-14 12:45:00,100.0,100.0,0,0
fall_2019,5871,3144,2019-11-11 18:45:00,2019-12-14 12:30:00,100.0,100.0,0,0
fall_2019,5874,3141,2019-11-11 18:45:00,2019-12-14 11:45:00,100.0,100.0,0,0
fall_2019,5875,3142,2019-11-11 18:45:00,2019-12-14 12:00:00,100.0,100.0,0,0
fall_2019,5879,3141,2019-11-11 18:45:00,2019-12-14 11:45:00,100.0,100.0,0,0
fall_2019,821,3145,2019-11-11 18:45:00,2019-12-14 12:45:00,100.0,100.0,0,0
fall_2019,8500,3141,2019-11-11 18:45:00,2019-12-14 11:45:00,100.0,100.0,0,0
fall_2019,8501,3140,2019-11-11 18:45:00,2019-12-14 11:30:00,100.0,100.0,0,0
fall_2019,8517,3072,2019-11-12 00:00:00,2019-12-13 23:45:00,100.0,100.0,0,0
fall_2019,8525,3072,2019-11-12 00:00:00,2019-12-13 23:45:00,100.0,100.0,0,0
fall_2019,8526,3072,2019-11-12 00:00:00,2019-12-13 23:45:00,100.0,100.0,0,0
fall_2019,8527,3072,2019-11-12 00:00:00,2019-12-13 23:45:00,100.0,100.0,0,0
fall_2019,8531,3072,2019-11-12 00:00:00,2019-12-13 23:45:00,100.0,100.0,0,0
fall_2019,8536,3072,2019-11-12 00:00:00,2019-12-13 23:45:00,100.0,100.0,0,0
fall_2021,2041,582,2021-11-30 09:30:00,2021-12-06 10:45:00,100.0,100.0,0,0
fall_2021,2208,583,2021-11-30 09:30:00,2021-12-06 11:00:00,100.0,100.0,0,0
fall_2021,8056,584,2021-11-30 09:15:00,2021-12-06 11:00:00,100.0,100.0,0,0
fall_2021,8057,583,2021-11-30 09:30:00,2021-12-06 11:00:00,100.0,100.0,0,0
fall_2021,8080,585,2021-11-30 09:00:00,2021-12-06 11:00:00,100.0,100.0,0,0
fall_2021,8089,584,2021-11-30 09:15:00,2021-12-06 11:00:00,100.0,100.0,0,0
fall_2021,8537,582,2021-11-30 09:30:00,2021-12-06 10:45:00,100.0,100.0,0,0
fall_2021,8539,9,2021-11-30 09:45:00,2021-11-30 11:45:00,100.0,100.0,0,0
fall_2021,8557,457,2021-11-30 09:30:00,2021-12-05 03:30:00,100.0,100.0,0,0
fall_2021,8562,582,2021-11-30 09:45:00,2021-12-06 11:00:00,100.0,100.0,0,0
summer_2019,8525,8919,2019-06-05 13:00:00,2019-09-06 10:30:00,90.39129947303509,0.0,857,0
summer_2019,5330,8921,2019-06-05 13:00:00,2019-09-06 11:00:00,92.52325972424616,0.0,667,0
summer_2019,5322,8920,2019-06-05 13:00:00,2019-09-06 10:45:00,92.62331838565022,0.0,658,0
summer_2019,5857,8920,2019-06-05 13:00:00,2019-09-06 10:45:00,97.72421524663677,0.0,203,0
summer_2019,2062,8922,2019-06-05 13:00:00,2019-09-06 11:15:00,100.0,100.0,0,0
summer_2019,2067,1441,2019-06-05 13:00:00,2019-06-20 13:00:00,100.0,100.0,0,0
summer_2019,419,8920,2019-06-05 13:00:00,2019-09-06 10:45:00,100.0,100.0,0,0
summer_2019,5169,4803,2019-06-05 13:00:00,2019-07-25 13:30:00,100.0,100.0,0,0
summer_2019,5214,1923,2019-07-05 08:30:00,2019-07-25 09:00:00,100.0,100.0,0,0
summer_2019,5258,7492,2019-06-05 13:00:00,2019-08-22 13:45:00,100.0,100.0,0,0
summer_2019,5313,8921,2019-06-05 13:00:00,2019-09-06 11:00:00,100.0,100.0,0,0
summer_2019,5854,7482,2019-06-20 13:00:00,2019-09-06 11:15:00,100.0,100.0,0,0
summer_2019,5862,8919,2019-06-05 13:00:00,2019-09-06 10:30:00,100.0,100.0,0,0
summer_2019,5865,8921,2019-06-05 13:00:00,2019-09-06 11:00:00,100.0,100.0,0,0
summer_2019,5871,8921,2019-06-05 13:00:00,2019-09-06 11:00:00,100.0,100.0,0,0
summer_2019,8515,8925,2019-06-05 13:00:00,2019-09-06 12:00:00,100.0,100.0,0,0
summer_2019,8520,8920,2019-06-05 13:00:00,2019-09-06 10:45:00,100.0,100.0,0,0
summer_2019,8536,8921,2019-06-05 13:00:00,2019-09-06 11:00:00,100.0,100.0,0,0
winter_2019,8502,8718,2019-01-16 15:15:00,2019-04-17 10:30:00,36.338609772883686,0.0,5550,0
winter_2019,3437,8718,2019-01-16 15:15:00,2019-04-17 10:30:00,92.2688690066529,0.0,674,0
winter_2019,3443,8718,2019-01-16 15:15:00,2019-04-17 10:30:00,92.3491626519844,0.0,667,0
winter_2019,8505,8719,2019-01-16 15:15:00,2019-04-17 10:45:00,92.35004014221815,0.0,667,0
winter_2019,2047,6219,2019-01-16 15:15:00,2019-03-22 09:45:00,99.93568097764914,0.0,4,0
winter_2019,5246,8055,2019-01-23 13:00:00,2019-04-17 10:30:00,99.95034140285537,0.0,4,0
winter_2019,8510,8649,2019-01-17 08:30:00,2019-04-17 10:30:00,99.95375187882992,0.0,4,0
winter_2019,2069,8717,2019-01-16 15:15:00,2019-04-17 10:15:00,99.95411265343581,0.0,4,0
winter_2019,2056,8718,2019-01-16 15:15:00,2019-04-17 10:30:00,99.95411791695344,0.0,4,0
winter_2019,2063,8718,2019-01-16 15:15:00,2019-04-17 10:30:00,99.95411791695344,0.0,4,0
winter_2019,5221,8718,2019-01-16 15:15:00,2019-04-17 10:30:00,99.95411791695344,0.0,4,0
winter_2019,5250,8718,2019-01-16 15:15:00,2019-04-17 10:30:00,99.95411791695344,0.0,4,0
winter_2019,8500,8718,2019-01-16 15:15:00,2019-04-17 10:30:00,99.95411791695344,0.0,4,0
