season,Cow,n_bins,cow_days,if_anomaly_points,lameness_points,lameness_starts,lameness_notifs,notifs_per_100_cow_days,starts_per_100_cow_days,coverage_mean,coverage_min
fall_2019,8517,3072,32.0,206,92,8,8,25.0,25.0,100.0,100.0
fall_2019,2062,3144,32.75,193,78,10,8,24.43,30.53,100.0,100.0
fall_2019,5879,3141,32.71875,172,72,7,7,21.39,21.39,100.0,100.0
fall_2019,2066,3142,32.729166666666664,222,34,7,6,18.33,21.39,100.0,100.0
fall_2019,5865,3144,32.75,182,47,6,6,18.32,18.32,100.0,100.0
fall_2019,8525,3072,32.0,232,69,5,5,15.62,15.62,100.0,100.0
fall_2019,8527,3072,32.0,182,34,5,5,15.62,15.62,100.0,100.0
fall_2019,2081,3141,32.71875,177,47,6,5,15.28,18.34,100.0,100.0
fall_2019,5871,3144,32.75,219,74,7,5,15.27,21.37,100.0,100.0
fall_2019,2041,3145,32.760416666666664,166,56,6,5,15.26,18.31,100.0,100.0
fall_2021,8557,457,4.760416666666667,24,15,2,1,21.01,42.01,100.0,100.0
fall_2021,8562,582,6.0625,39,6,1,1,16.49,16.49,100.0,100.0
fall_2021,2041,582,6.0625,33,10,1,1,16.49,16.49,100.0,100.0
fall_2021,8089,584,6.083333333333333,37,7,1,1,16.44,16.44,100.0,100.0
fall_2021,8057,583,6.072916666666667,37,0,0,0,0.0,0.0,100.0,100.0
fall_2021,8056,584,6.083333333333333,33,0,0,0,0.0,0.0,100.0,100.0
fall_2021,8080,585,6.09375,33,0,0,0,0.0,0.0,100.0,100.0
fall_2021,8537,582,6.0625,33,0,0,0,0.0,0.0,100.0,100.0
fall_2021,2208,583,6.072916666666667,32,0,0,0,0.0,0.0,100.0,100.0
fall_2021,8539,9,0.09375,1,0,0,0,0.0,0.0,100.0,100.0
summer_2019,2062,8922,92.9375,582,224,18,17,18.29,19.37,100.0,100.0
summer_2019,5258,7492,78.04166666666667,467,92,19,11,14.1,24.35,100.0,100.0
summer_2019,419,8920,92.91666666666667,549,89,13,11,11.84,13.99,100.0,100.0
summer_2019,8536,8921,92.92708333333333,477,47,15,10,10.76,16.14,100.0,100.0
summer_2019,5871,8921,92.92708333333333,531,97,13,10,10.76,13.99,100.0,100.0
summer_2019,8520,8920,92.91666666666667,503,53,12,10,10.76,12.91,100.0,100.0
summer_2019,5313,8921,92.92708333333333,552,96,12,9,9.69,12.91,100.0,100.0
summer_2019,5857,8920,92.91666666666667,564,58,10,9,9.69,10.76,97.72421524663676,0.0
summer_2019,5322,8920,92.91666666666667,569,26,10,7,7.53,10.76,92.62331838565022,0.0
summer_2019,8515,8925,92.96875,526,74,10,7,7.53,10.76,100.0,100.0
winter_2019,8508,8718,90.8125,533,170,27,19,20.92,29.73,99.95411791695344,0.0
winter_2019,2056,8718,90.8125,404,144,22,17,18.72,24.23,99.95411791695344,0.0
winter_2019,5250,8718,90.8125,437,141,19,13,14.32,20.92,99.95411791695344,0.0
winter_2019,3443,8718,90.8125,427,110,19,12,13.21,20.92,92.3491626519844,0.0
winter_2019,8506,8718,90.8125,424,145,19,11,12.11,20.92,99.95411791695344,0.0
winter_2019,2081,8722,90.85416666666667,432,148,15,11,12.11,16.51,99.95413895895436,0.0
winter_2019,2047,6219,64.78125,301,134,17,9,13.89,26.24,99.93568097764914,0.0
winter_2019,3437,8718,90.8125,395,114,11,9,9.91,12.11,92.2688690066529,0.0
winter_2019,5246,8055,83.90625,393,57,10,8,9.53,11.92,99.95034140285536,0.0
winter_2019,2063,8718,90.8125,427,98,9,8,8.81,9.91,99.95411791695344,0.0
