Cow,T,if_anomaly_point,pred_problem_episode,pred_problem_start,pred_lameness_episode,pred_lameness_start,notif_lameness,lame_confidence,coverage_pct
2041,2019-11-12 12:15:00,1,1,1,1,1,1,47.1,100.0
2041,2019-11-15 08:30:00,0,1,1,1,1,1,42.4,100.0
2041,2019-11-18 11:15:00,1,1,1,1,1,1,58.7,100.0
2041,2019-11-21 12:00:00,1,1,1,1,1,1,48.4,100.0
2041,2019-11-25 11:15:00,1,1,1,1,1,1,51.5,100.0
2057,2019-11-12 11:45:00,1,1,1,1,1,1,50.0,100.0
2057,2019-11-23 17:15:00,1,1,1,1,1,1,47.1,100.0
2057,2019-11-24 16:15:00,1,1,1,1,1,1,47.0,100.0
2057,2019-11-28 11:15:00,1,1,1,1,1,1,50.2,100.0
2062,2019-11-18 07:45:00,0,1,1,1,1,1,45.4,100.0
2062,2019-11-19 11:15:00,1,1,1,1,1,1,59.9,100.0
2062,2019-11-21 11:45:00,1,1,1,1,1,1,57.9,100.0
2062,2019-11-22 11:15:00,1,1,1,1,1,1,48.5,100.0
2062,2019-11-29 10:45:00,1,1,1,1,1,1,58.8,100.0
2062,2019-12-02 11:45:00,1,1,1,1,1,1,58.3,100.0
2062,2019-12-09 08:00:00,0,1,1,1,1,1,48.3,100.0
2062,2019-12-13 11:45:00,1,1,1,1,1,1,57.0,100.0
2063,2019-11-23 02:45:00,1,1,1,1,1,1,48.1,100.0
2063,2019-11-30 09:30:00,0,1,1,1,1,1,38.9,100.0
2063,2019-12-05 13:00:00,1,1,1,1,1,1,48.8,100.0
2063,2019-12-13 09:30:00,1,1,1,1,1,1,47.8,100.0
2066,2019-11-12 16:30:00,0,1,1,1,1,1,44.1,100.0
2066,2019-11-15 11:00:00,1,1,1,1,1,1,52.0,100.0
2066,2019-11-21 11:45:00,1,1,1,1,1,1,50.8,100.0
2066,2019-11-27 16:30:00,0,1,1,1,1,1,51.4,100.0
2066,2019-12-05 15:30:00,1,1,1,1,1,1,50.7,100.0
2066,2019-12-11 11:15:00,1,1,1,1,1,1,49.1,100.0
2081,2019-11-21 11:00:00,1,1,1,1,1,1,47.9,100.0
2081,2019-11-25 11:45:00,1,1,1,1,1,1,48.0,100.0
2081,2019-11-27 12:00:00,0,1,1,1,1,1,42.1,100.0
2081,2019-11-30 08:15:00,1,1,1,1,1,1,47.7,100.0
2081,2019-12-02 10:15:00,1,1,1,1,1,1,50.8,100.0
3437,2019-11-22 11:45:00,1,1,1,1,1,1,57.2,100.0
3437,2019-11-25 11:00:00,1,1,1,1,1,1,47.7,100.0
3437,2019-11-26 11:45:00,1,1,1,1,1,1,47.5,100.0
3437,2019-12-09 11:30:00,1,1,1,1,1,1,57.2,100.0
3444,2019-11-18 14:30:00,0,1,1,1,1,1,49.0,100.0
3444,2019-11-25 11:00:00,1,1,1,1,1,1,48.6,100.0
3444,2019-12-02 01:30:00,1,1,1,1,1,1,47.1,100.0
3444,2019-12-12 10:30:00,1,1,1,1,1,1,58.4,100.0
5327,2019-11-12 03:00:00,1,1,1,1,1,1,48.4,100.0
5327,2019-12-09 06:00:00,1,1,1,1,1,1,46.3,100.0
5327,2019-12-10 07:15:00,1,1,1,1,1,1,48.5,100.0
5327,2019-12-12 09:00:00,1,1,1,1,1,1,58.5,100.0
5854,2019-11-13 07:30:00,1,1,1,1,1,1,50.0,100.0
5854,2019-11-26 11:00:00,1,1,1,1,1,1,57.6,100.0
5854,2019-12-09 08:15:00,0,1,1,1,1,1,36.9,100.0
5857,2019-11-14 13:00:00,0,1,1,1,1,1,56.3,100.0
5857,2019-11-27 07:30:00,1,1,1,1,1,1,46.7,100.0
5862,2019-11-23 09:30:00,0,1,1,1,1,1,46.0,100.0
5862,2019-12-02 07:45:00,0,1,1,1,1,1,44.0,100.0
5865,2019-11-12 12:00:00,1,1,1,1,1,1,48.6,100.0
5865,2019-11-14 15:45:00,0,1,1,1,1,1,44.1,100.0
5865,2019-11-18 15:45:00,0,1,1,1,1,1,41.8,100.0
5865,2019-11-25 11:15:00,1,1,1,1,1,1,47.2,100.0
5865,2019-11-29 11:45:00,1,1,1,1,1,1,47.6,100.0
5865,2019-12-13 11:30:00,1,1,1,1,1,1,59.3,100.0
5870,2019-11-13 13:30:00,1,1,1,1,1,1,47.4,100.0
5870,2019-11-20 08:15:00,0,1,1,1,1,1,45.9,100.0
5870,2019-12-11 07:45:00,0,1,1,1,1,1,45.4,100.0
5871,2019-11-19 07:00:00,1,1,1,1,1,1,46.6,100.0
5871,2019-12-01 21:00:00,1,1,1,1,1,1,57.2,100.0
5871,2019-12-05 10:00:00,1,1,1,1,1,1,47.5,100.0
5871,2019-12-11 07:45:00,0,1,1,1,1,1,46.5,100.0
5871,2019-12-14 07:15:00,0,1,1,1,1,1,48.3,100.0
5872,2019-12-13 03:00:00,0,1,1,1,1,1,50.0,100.0
5874,2019-11-14 16:30:00,0,1,1,1,1,1,49.7,100.0
5874,2019-11-26 10:45:00,1,1,1,1,1,1,59.4,100.0
5874,2019-12-11 15:00:00,0,1,1,1,1,1,51.6,100.0
5875,2019-11-12 11:00:00,1,1,1,1,1,1,58.2,100.0
5875,2019-11-14 10:15:00,1,1,1,1,1,1,47.3,100.0
5875,2019-12-13 09:30:00,1,1,1,1,1,1,47.0,100.0
5879,2019-11-21 10:00:00,1,1,1,1,1,1,49.4,100.0
5879,2019-11-25 09:45:00,1,1,1,1,1,1,52.5,100.0
5879,2019-11-28 11:00:00,1,1,1,1,1,1,48.5,100.0
5879,2019-11-29 10:15:00,1,1,1,1,1,1,54.5,100.0
5879,2019-12-05 08:15:00,0,1,1,1,1,1,39.6,100.0
5879,2019-12-06 11:45:00,1,1,1,1,1,1,49.1,100.0
5879,2019-12-12 11:15:00,1,1,1,1,1,1,54.9,100.0
821,2019-11-20 10:30:00,1,1,1,1,1,1,46.5,100.0
821,2019-12-02 10:15:00,0,1,1,1,1,1,45.5,100.0
821,2019-12-04 01:45:00,1,1,1,1,1,1,47.4,100.0
821,2019-12-05 12:45:00,1,1,1,1,1,1,56.5,100.0
8501,2019-12-05 23:30:00,0,1,1,1,1,1,33.1,100.0
8517,2019-11-12 11:45:00,1,1,1,1,1,1,50.9,100.0
8517,2019-11-20 11:15:00,1,1,1,1,1,1,46.9,100.0
8517,2019-11-28 11:00:00,1,1,1,1,1,1,60.5,100.0
8517,2019-12-01 10:00:00,1,1,1,1,1,1,47.3,100.0
8517,2019-12-02 11:00:00,1,1,1,1,1,1,48.6,100.0
