n_bins,if_anomaly_points,problem_points,lameness_points,problem_starts,lameness_starts,lameness_notifs,critique_points,coverage_mean,coverage_min,Cow
457,24,15,15,2,2,1,3,100.0,100.0,8557
582,39,6,6,1,1,1,3,100.0,100.0,8562
584,37,7,7,1,1,1,1,100.0,100.0,8089
582,33,10,10,1,1,1,4,100.0,100.0,2041
583,37,0,0,0,0,0,0,100.0,100.0,8057
584,33,0,0,0,0,0,0,100.0,100.0,8056
585,33,0,0,0,0,0,0,100.0,100.0,8080
582,33,0,0,0,0,0,0,100.0,100.0,8537
583,32,0,0,0,0,0,0,100.0,100.0,2208
9,1,0,0,0,0,0,0,100.0,100.0,8539
