Cow,old_lameness_notifs,old_n_bins,old_coverage_mean,v3_n_bins,v3_coverage_mean,v3_legacy_if_lameness_notifs,behavioral_warning_notifs,instability_warning_notifs,hybrid_warning_notifs,season
2041,5,3145,100.0,3145,100.0,5,6,8,12,fall_2019
2057,4,3144,100.0,3144,100.0,4,8,1,8,fall_2019
2062,8,3144,100.0,3144,100.0,8,7,7,13,fall_2019
2063,4,3140,100.0,3140,100.0,4,7,8,9,fall_2019
2066,6,3142,100.0,3142,100.0,6,6,8,10,fall_2019
2078,0,3140,100.0,3140,100.0,0,6,11,10,fall_2019
2081,5,3141,100.0,3141,100.0,5,6,4,8,fall_2019
3435,0,3140,100.0,3140,100.0,0,2,11,13,fall_2019
3437,4,3145,100.0,3145,100.0,4,6,13,14,fall_2019
3444,4,3142,100.0,3142,100.0,4,7,11,10,fall_2019
5327,4,3145,100.0,3145,100.0,4,5,3,7,fall_2019
5854,3,3145,100.0,3145,100.0,3,6,8,11,fall_2019
5857,2,3145,100.0,3145,100.0,2,6,12,12,fall_2019
5862,2,3146,100.0,3146,100.0,2,5,6,7,fall_2019
5865,6,3144,100.0,3144,100.0,6,9,11,13,fall_2019
5870,3,3145,100.0,3145,100.0,3,9,7,11,fall_2019
5871,5,3144,100.0,3144,100.0,5,7,1,8,fall_2019
5872,1,3141,78.57370264247055,3141,78.57370264247055,1,7,4,10,fall_2019
5874,3,3141,100.0,3141,100.0,3,7,5,10,fall_2019
5875,3,3142,100.0,3142,100.0,3,6,4,8,fall_2019
5879,7,3141,100.0,3141,100.0,7,7,8,9,fall_2019
821,4,3145,100.0,3145,100.0,4,7,3,9,fall_2019
8500,0,3141,100.0,3141,100.0,0,7,9,10,fall_2019
8501,1,3140,100.0,3140,100.0,1,5,1,5,fall_2019
8517,8,3072,100.0,3072,100.0,8,8,6,10,fall_2019
8525,5,3072,100.0,3072,100.0,5,9,2,12,fall_2019
8526,2,3072,100.0,3072,100.0,2,6,13,13,fall_2019
8527,5,3072,100.0,3072,100.0,5,7,5,7,fall_2019
8531,0,3072,100.0,3072,100.0,0,5,6,10,fall_2019
8536,1,3072,100.0,3072,100.0,1,9,1,10,fall_2019
2062,17,8922,100.0,8922,100.0,17,18,10,21,summer_2019
2067,0,1441,100.0,1441,100.0,0,4,3,6,summer_2019
419,11,8920,100.0,8920,100.0,11,15,7,23,summer_2019
5169,3,4803,100.0,4803,100.0,3,8,15,22,summer_2019
5214,2,1923,100.0,1923,100.0,2,4,1,5,summer_2019
5258,11,7492,100.0,7492,100.0,11,17,24,27,summer_2019
5313,9,8921,100.0,8921,100.0,9,18,17,31,summer_2019
5322,7,8920,92.62331838565022,8920,92.62331838565022,7,17,22,22,summer_2019
5330,4,8921,92.52325972424616,8921,92.52325972424616,4,14,28,27,summer_2019
5854,6,7482,100.0,7482,100.0,6,13,20,26,summer_2019
5857,9,8920,97.72421524663676,8920,97.72421524663676,9,16,22,22,summer_2019
5862,5,8919,100.0,8919,100.0,5,16,16,28,summer_2019
5865,4,8921,100.0,8921,100.0,4,19,23,28,summer_2019
5871,10,8921,100.0,8921,100.0,10,15,34,34,summer_2019
8515,7,8925,100.0,8925,100.0,7,13,21,26,summer_2019
8520,10,8920,100.0,8920,100.0,10,16,26,27,summer_2019
8525,2,8919,90.39129947303508,8919,90.39129947303508,2,12,17,21,summer_2019
8536,10,8921,100.0,8921,100.0,10,19,18,25,summer_2019
2047,9,6219,99.93568097764914,6219,99.93568097764914,9,13,7,18,winter_2019
2056,17,8718,99.95411791695344,8718,99.95411791695344,17,20,21,30,winter_2019
2063,8,8718,99.95411791695344,8718,99.95411791695344,8,19,21,29,winter_2019
2069,7,8717,99.9541126534358,8717,99.9541126534358,7,20,15,29,winter_2019
2081,11,8722,99.95413895895436,8722,99.95413895895436,11,20,23,32,winter_2019
2083,1,668,100.0,668,100.0,1,1,1,1,winter_2019
3437,9,8718,92.2688690066529,8718,92.2688690066529,9,19,23,30,winter_2019
3443,12,8718,92.3491626519844,8718,92.3491626519844,12,15,31,32,winter_2019
5221,6,8718,99.95411791695344,8718,99.95411791695344,6,17,33,35,winter_2019
5246,8,8055,99.95034140285536,8055,99.95034140285536,8,17,20,27,winter_2019
5250,13,8718,99.95411791695344,8718,99.95411791695344,13,21,19,32,winter_2019
8500,7,8718,99.95411791695344,8718,99.95411791695344,7,17,20,28,winter_2019
8502,3,8718,36.338609772883686,8718,36.338609772883686,3,7,12,9,winter_2019
8505,1,8719,92.35004014221816,8719,92.35004014221816,1,17,16,26,winter_2019
8506,11,8718,99.95411791695344,8718,99.95411791695344,11,18,10,21,winter_2019
8508,19,8718,99.95411791695344,8718,99.95411791695344,19,20,24,32,winter_2019
8510,7,8649,99.95375187882992,8649,99.95375187882992,7,18,24,30,winter_2019
2041,1,582,100.0,582,100.0,1,2,2,3,fall_2021
2208,0,583,100.0,583,100.0,0,1,2,2,fall_2021
8056,0,584,100.0,584,100.0,0,2,1,2,fall_2021
8057,0,583,100.0,583,100.0,0,2,1,2,fall_2021
8080,0,585,100.0,585,100.0,0,2,1,2,fall_2021
8089,1,584,100.0,584,100.0,1,2,2,2,fall_2021
8537,0,582,100.0,582,100.0,0,1,1,1,fall_2021
8539,0,9,100.0,9,100.0,0,0,0,0,fall_2021
8557,1,457,100.0,457,100.0,1,1,1,2,fall_2021
8562,1,582,100.0,582,100.0,1,2,2,2,fall_2021
