season,tolerance_hours,old_alerts,hybrid_alerts,old_alerts_with_hybrid_nearby,old_alerts_with_hybrid_nearby_pct,hybrid_alerts_with_old_nearby,hybrid_alerts_with_old_nearby_pct
fall_2019,6,105,299,16,15.2,16,5.4
fall_2019,12,105,299,27,25.7,28,9.4
fall_2019,24,105,299,37,35.2,57,19.1
fall_2019,48,105,299,45,42.9,96,32.1
summer_2019,6,127,421,14,11.0,14,3.3
summer_2019,12,127,421,28,22.0,30,7.1
summer_2019,24,127,421,42,33.1,59,14.0
summer_2019,48,127,421,47,37.0,93,22.1
winter_2019,6,149,441,8,5.4,8,1.8
winter_2019,12,149,441,12,8.1,16,3.6
winter_2019,24,149,441,21,14.1,38,8.6
winter_2019,48,149,441,24,16.1,68,15.4
fall_2021,6,4,18,0,0.0,0,0.0
fall_2021,12,4,18,0,0.0,0,0.0
fall_2021,24,4,18,0,0.0,0,0.0
fall_2021,48,4,18,2,50.0,2,11.1
