T,Cow,coverage_pct,dataset_split,notif_lameness,lame_confidence,behavioral_warning_score,behavioral_warning_cusum,behavioral_warning_families,behavioral_warning_episode,behavioral_warning_start,behavioral_warning_notification,instability_warning_score,instability_warning_cusum,instability_warning_families,instability_warning_episode,instability_warning_start,instability_warning_notification,hybrid_warning_score,hybrid_warning_episode,hybrid_warning_surveillance,hybrid_warning_sequence_start,hybrid_warning_start,hybrid_warning_notification,hybrid_warning_type,hybrid_warning_priority,hybrid_warning_fusion_mode
2019-11-12 12:15:00,2041,100.0,baseline,1,47.1,0.0,0.0,0,0,0,0,0.5631284924950288,0.0,2,0,0,0,0.5631284924950288,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-11-15 08:30:00,2041,100.0,baseline,1,42.4,0.08603268831137989,0.0,2,0,0,0,0.0031757334092851306,0.0,0,0,0,0,0.08603268831137989,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-11-18 11:15:00,2041,100.0,baseline,1,58.7,0.0,0.0,0,0,0,0,0.5022971619762072,0.0,2,0,0,0,0.5022971619762072,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-11-21 12:00:00,2041,100.0,baseline,1,48.4,0.005555096532540138,0.0,0,0,0,0,0.06633713451702168,0.0,0,0,0,0,0.06633713451702168,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-11-25 11:15:00,2041,100.0,baseline,1,51.5,0.049056603773584895,0.0,1,0,0,0,0.05351993807317257,0.0,0,0,0,0,0.05351993807317257,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-12-01 13:15:00,2041,100.0,futur,0,26.5,0.7498569325654251,9.969710186733057,4,1,1,1,0.029388888888888874,0.0,0,0,0,0,0.7498569325654251,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-12-03 12:00:00,2041,100.0,futur,0,32.2,0.3099979947868041,29.624073638111188,4,1,1,1,0.12918763479511144,0.0,1,0,0,0,0.3099979947868041,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-12-04 15:30:00,2041,100.0,futur,0,29.3,0.2590731830291603,44.02169380375261,3,1,1,1,0.0,0.0,0,0,0,0,0.2590731830291603,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-12-06 12:00:00,2041,100.0,futur,0,40.5,0.3449966218323075,60.23697545469956,4,1,1,1,0.000651569880522429,0.0,0,0,0,0,0.3449966218323075,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-12-07 04:30:00,2041,100.0,futur,0,0.1,0.29408555725070035,75.15311563764689,2,1,0,0,0.38749999999999996,2.265076180440166,2,1,1,1,0.38749999999999996,1,0,0,1,1,MIXTE,3,HIERARCHICAL
2019-12-07 18:00:00,2041,100.0,futur,0,28.9,0.7123721852616804,101.16544352103982,4,1,0,0,0.2252209595959596,2.2172075213281834,2,1,1,1,0.7123721852616804,1,0,0,1,1,MIXTE,3,HIERARCHICAL
2019-12-09 01:15:00,2041,100.0,futur,0,13.8,0.4957900086956507,167.50930944880088,3,1,0,0,0.8839999999999999,3.2231861849366914,2,1,1,1,0.8839999999999999,1,0,0,1,1,MIXTE,3,HIERARCHICAL
