n_bins,if_anomaly_points,problem_points,lameness_points,problem_starts,lameness_starts,lameness_notifs,critique_points,behavioral_warning_points,behavioral_warning_notifs,instability_warning_notifs,hybrid_warning_notifs,coverage_mean,coverage_min,Cow
582,33,10,10,1,1,1,4,159,2,2,3,100.0,100.0,2041
584,37,7,7,1,1,1,1,59,2,2,2,100.0,100.0,8089
582,39,6,6,1,1,1,3,23,2,2,2,100.0,100.0,8562
584,33,0,0,0,0,0,0,33,2,1,2,100.0,100.0,8056
583,37,0,0,0,0,0,0,172,2,1,2,100.0,100.0,8057
585,33,0,0,0,0,0,0,115,2,1,2,100.0,100.0,8080
583,32,0,0,0,0,0,0,102,1,2,2,100.0,100.0,2208
457,24,15,15,2,2,1,3,104,1,1,2,100.0,100.0,8557
582,33,0,0,0,0,0,0,53,1,1,1,100.0,100.0,8537
9,1,0,0,0,0,0,0,0,0,0,0,100.0,100.0,8539
