Cow,old_lameness_notifs,old_n_bins,old_coverage_mean,v3_n_bins,v3_coverage_mean,v3_legacy_if_lameness_notifs,behavioral_warning_notifs,instability_warning_notifs,hybrid_warning_notifs,season
2062,17,8922,100.0,8922,100.0,17,18,10,21,summer_2019
2067,0,1441,100.0,1441,100.0,0,4,3,6,summer_2019
419,11,8920,100.0,8920,100.0,11,15,7,23,summer_2019
5169,3,4803,100.0,4803,100.0,3,8,15,22,summer_2019
5214,2,1923,100.0,1923,100.0,2,4,1,5,summer_2019
5258,11,7492,100.0,7492,100.0,11,17,24,27,summer_2019
5313,9,8921,100.0,8921,100.0,9,18,17,31,summer_2019
5322,7,8920,92.62331838565022,8920,92.62331838565022,7,17,22,22,summer_2019
5330,4,8921,92.52325972424616,8921,92.52325972424616,4,14,28,27,summer_2019
5854,6,7482,100.0,7482,100.0,6,13,20,26,summer_2019
5857,9,8920,97.72421524663676,8920,97.72421524663677,9,16,22,22,summer_2019
5862,5,8919,100.0,8919,100.0,5,16,16,28,summer_2019
5865,4,8921,100.0,8921,100.0,4,19,23,28,summer_2019
5871,10,8921,100.0,8921,100.0,10,15,34,34,summer_2019
8515,7,8925,100.0,8925,100.0,7,13,21,26,summer_2019
8520,10,8920,100.0,8920,100.0,10,16,26,27,summer_2019
8525,2,8919,90.39129947303508,8919,90.39129947303509,2,12,17,21,summer_2019
8536,10,8921,100.0,8921,100.0,10,19,18,25,summer_2019
