T,Cow,coverage_pct,dataset_split,notif_lameness,lame_confidence,behavioral_warning_score,behavioral_warning_cusum,behavioral_warning_families,behavioral_warning_episode,behavioral_warning_start,behavioral_warning_notification,instability_warning_score,instability_warning_cusum,instability_warning_families,instability_warning_episode,instability_warning_start,instability_warning_notification,hybrid_warning_score,hybrid_warning_episode,hybrid_warning_surveillance,hybrid_warning_sequence_start,hybrid_warning_start,hybrid_warning_notification,hybrid_warning_type,hybrid_warning_priority,hybrid_warning_fusion_mode
2019-06-09 09:15:00,2062,100.0,baseline,1,46.2,0.06766018177085685,0.0,2,0,0,0,0.07222222222222219,0.0,1,0,0,0,0.07222222222222219,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-06-12 07:15:00,2062,100.0,baseline,1,50.1,0.10951147354538766,0.0,2,0,0,0,0.06966065965854906,0.0,0,0,0,0,0.10951147354538766,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-06-14 09:00:00,2062,100.0,baseline,1,47.5,0.05601289797461176,0.0,1,0,0,0,0.3236074270557029,0.0,2,0,0,0,0.3236074270557029,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-06-21 07:00:00,2062,100.0,baseline,1,45.8,0.09990082825489957,0.0,3,0,0,0,0.0,0.0,0,0,0,0,0.09990082825489957,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-06-24 10:15:00,2062,100.0,baseline,1,56.5,0.004166666666666652,0.0,0,0,0,0,0.18135504201680666,0.0,1,0,0,0,0.18135504201680666,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-06-26 08:15:00,2062,100.0,baseline,1,46.7,0.1013474653834309,0.0,2,0,0,0,0.018674351585014435,0.0,0,0,0,0,0.1013474653834309,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-07-23 07:15:00,2062,100.0,baseline,1,40.8,0.1887338135282382,0.0,4,0,0,0,0.04516670974411994,0.0,1,0,0,0,0.1887338135282382,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-07-26 07:00:00,2062,100.0,baseline,1,42.9,0.15430373789031487,0.0,2,0,0,0,0.010901408450704198,0.0,0,0,0,0,0.15430373789031487,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-07-31 20:30:00,2062,100.0,futur,0,2.4,0.23054809676329613,1.5640446945200774,4,1,1,1,0.0542443751372848,0.0,0,0,0,0,0.23054809676329613,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-08-02 07:30:00,2062,100.0,futur,0,38.7,0.18491484227448168,5.5395134718900065,3,1,1,1,0.0,0.0,0,0,0,0,0.18491484227448168,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-08-03 15:15:00,2062,100.0,futur,0,19.3,0.13239325295640528,4.140975842204529,3,1,1,1,0.2983931971813096,0.7804506023338231,4,0,0,0,0.2983931971813096,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-08-04 08:30:00,2062,100.0,futur,0,12.6,0.21006886297101457,6.893220804541942,4,1,1,0,0.0515874684608915,0.0,0,0,0,0,0.21006886297101457,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-08-05 04:00:00,2062,100.0,futur,0,11.6,0.021070719788734472,11.439727434822743,1,0,0,0,0.475,1.6795344293611292,2,1,1,1,0.475,0,1,0,0,0,INSTABILITE,1,HIERARCHICAL
2019-08-08 02:45:00,2062,100.0,futur,0,32.6,0.05615893146249326,0.0,1,0,0,0,0.29316584178922195,1.123464975153803,3,1,1,1,0.29316584178922195,0,1,0,0,0,INSTABILITE,1,HIERARCHICAL
2019-08-09 02:15:00,2062,100.0,futur,0,19.8,0.26521088331354037,2.7285122361889886,3,1,1,1,0.0,1.708490220045317,0,0,0,0,0.26521088331354037,1,0,1,1,1,SEQUENCE,3,HIERARCHICAL
2019-08-11 02:15:00,2062,100.0,futur,0,8.3,0.07017543859649122,38.166076889386346,1,0,0,0,0.44124308527293604,0.9775175028321168,2,1,1,1,0.44124308527293604,0,1,0,0,0,INSTABILITE,1,HIERARCHICAL
2019-08-11 10:30:00,2062,100.0,futur,0,23.0,0.3882818013706156,39.5330305402104,4,1,1,1,0.1894123606889564,6.786245007354114,1,0,0,0,0.3882818013706156,1,0,1,1,1,SEQUENCE,3,HIERARCHICAL
2019-08-13 02:15:00,2062,100.0,futur,0,30.1,0.20292997260571424,48.999661880950484,4,1,1,1,0.027556060456386488,0.586082667016242,0,0,0,0,0.20292997260571424,1,0,1,1,1,SEQUENCE,3,HIERARCHICAL
