season,Cow,old_lameness_notifs,hybrid_warning_notifs,behavioral_warning_notifs,instability_warning_notifs,delta_hybrid_minus_old
fall_2019,3437,4,14,6,13,10
fall_2019,3435,0,13,2,11,13
fall_2019,8526,2,13,6,13,11
fall_2019,5865,6,13,9,11,7
fall_2019,2062,8,13,7,7,5
fall_2019,5857,2,12,6,12,10
fall_2019,2041,5,12,6,8,7
fall_2019,8525,5,12,9,2,7
summer_2019,5871,10,34,15,34,24
summer_2019,5313,9,31,18,17,22
summer_2019,5865,4,28,19,23,24
summer_2019,5862,5,28,16,16,23
summer_2019,5330,4,27,14,28,23
summer_2019,8520,10,27,16,26,17
summer_2019,5258,11,27,17,24,16
summer_2019,5854,6,26,13,20,20
winter_2019,5221,6,35,17,33,29
winter_2019,2081,11,32,20,23,21
winter_2019,3443,12,32,15,31,20
winter_2019,5250,13,32,21,19,19
winter_2019,8508,19,32,20,24,13
winter_2019,8510,7,30,18,24,23
winter_2019,3437,9,30,19,23,21
winter_2019,2056,17,30,20,21,13
fall_2021,2041,1,3,2,2,2
fall_2021,2208,0,2,1,2,2
fall_2021,8056,0,2,2,1,2
fall_2021,8057,0,2,2,1,2
fall_2021,8080,0,2,2,1,2
fall_2021,8089,1,2,2,2,1
fall_2021,8557,1,2,1,1,1
fall_2021,8562,1,2,2,2,1
