Cow,old_lameness_notifs,old_n_bins,old_coverage_mean,v3_n_bins,v3_coverage_mean,v3_legacy_if_lameness_notifs,behavioral_warning_notifs,instability_warning_notifs,hybrid_warning_notifs,season
2047,9,6219,99.93568097764914,6219,99.93568097764914,9,13,7,18,winter_2019
2056,17,8718,99.95411791695344,8718,99.95411791695344,17,20,21,30,winter_2019
2063,8,8718,99.95411791695344,8718,99.95411791695344,8,19,21,29,winter_2019
2069,7,8717,99.9541126534358,8717,99.95411265343581,7,20,15,29,winter_2019
2081,11,8722,99.95413895895436,8722,99.95413895895437,11,20,23,32,winter_2019
2083,1,668,100.0,668,100.0,1,1,1,1,winter_2019
3437,9,8718,92.2688690066529,8718,92.2688690066529,9,19,23,30,winter_2019
3443,12,8718,92.3491626519844,8718,92.3491626519844,12,15,31,32,winter_2019
5221,6,8718,99.95411791695344,8718,99.95411791695344,6,17,33,35,winter_2019
5246,8,8055,99.95034140285536,8055,99.95034140285537,8,17,20,27,winter_2019
5250,13,8718,99.95411791695344,8718,99.95411791695344,13,21,19,32,winter_2019
8500,7,8718,99.95411791695344,8718,99.95411791695344,7,17,20,28,winter_2019
8502,3,8718,36.338609772883686,8718,36.338609772883686,3,7,12,9,winter_2019
8505,1,8719,92.35004014221816,8719,92.35004014221815,1,17,16,26,winter_2019
8506,11,8718,99.95411791695344,8718,99.95411791695344,11,18,10,21,winter_2019
8508,19,8718,99.95411791695344,8718,99.95411791695344,19,20,24,32,winter_2019
8510,7,8649,99.95375187882992,8649,99.95375187882992,7,18,24,30,winter_2019
