T,Cow,coverage_pct,dataset_split,notif_lameness,lame_confidence,behavioral_warning_score,behavioral_warning_cusum,behavioral_warning_families,behavioral_warning_episode,behavioral_warning_start,behavioral_warning_notification,instability_warning_score,instability_warning_cusum,instability_warning_families,instability_warning_episode,instability_warning_start,instability_warning_notification,hybrid_warning_score,hybrid_warning_episode,hybrid_warning_surveillance,hybrid_warning_sequence_start,hybrid_warning_start,hybrid_warning_notification,hybrid_warning_type,hybrid_warning_priority,hybrid_warning_fusion_mode
2019-02-01 11:15:00,2047,100.0,baseline,1,56.8,0.01977218577629818,0.0,1,0,0,0,0.1949661614959427,0.0,1,0,0,0,0.1949661614959427,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-02 09:00:00,2047,100.0,baseline,1,47.1,0.1843784263924165,0.0,2,0,0,0,0.008961507618283892,0.0,0,0,0,0,0.1843784263924165,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-03 11:30:00,2047,100.0,baseline,1,44.6,0.1864641058022106,0.0,3,0,0,0,0.0,0.0,0,0,0,0,0.1864641058022106,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-04 19:00:00,2047,100.0,baseline,1,46.8,0.08904410836923411,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0.08904410836923411,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-05 08:30:00,2047,100.0,baseline,1,48.3,0.3652025970865016,0.0,4,0,0,0,0.08049793550924107,0.0,2,0,0,0,0.3652025970865016,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-06 07:30:00,2047,100.0,baseline,1,43.1,0.07902993329534408,0.0,1,0,0,0,0.08095238095238094,0.0,1,0,0,0,0.08095238095238094,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-06 21:15:00,2047,100.0,baseline,1,48.6,0.056204833320382286,0.0,1,0,0,0,0.1476961949780886,0.0,1,0,0,0,0.1476961949780886,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-07 10:15:00,2047,100.0,baseline,1,49.4,0.7053456641461336,0.0,4,0,0,0,0.009645122918318837,0.0,0,0,0,0,0.7053456641461336,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-08 10:00:00,2047,100.0,baseline,1,49.1,0.1059659090909091,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0.1059659090909091,0,0,0,0,0,AUCUN,0,HIERARCHICAL
2019-02-24 19:45:00,2047,100.0,futur,0,29.4,0.27795057837346365,2.283733322359146,4,1,1,1,0.0,0.0,0,0,0,0,0.27795057837346365,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-02-26 03:45:00,2047,100.0,futur,0,0.8,0.20194110384173167,33.071455613044755,3,1,1,1,0.24543254688445254,0.3400029803209851,2,0,0,0,0.24543254688445254,1,0,0,1,1,HYPO,2,HIERARCHICAL
2019-02-26 04:30:00,2047,100.0,futur,0,1.5,0.2059712864999795,32.861455613044754,2,0,0,0,0.38838043384322873,0.813930903577402,2,1,1,1,0.38838043384322873,0,1,0,0,0,INSTABILITE,1,HIERARCHICAL
2019-02-26 20:00:00,2047,100.0,futur,0,25.9,0.28025896657229105,44.982580531597996,3,1,0,0,0.26866920384417314,9.637867636836235,2,1,1,1,0.28025896657229105,1,0,0,1,1,MIXTE,3,HIERARCHICAL
