n_bins,if_anomaly_points,problem_points,lameness_points,problem_starts,lameness_starts,lameness_notifs,critique_points,behavioral_warning_points,behavioral_warning_notifs,instability_warning_notifs,hybrid_warning_notifs,coverage_mean,coverage_min,Cow
8718,451,82,82,9,9,6,9,2322,17,33,35,99.95411791695344,0.0,5221
8718,437,141,141,19,19,13,35,1813,21,19,32,99.95411791695344,0.0,5250
8718,533,170,170,27,27,19,58,1721,20,24,32,99.95411791695344,0.0,8508
8722,432,148,148,15,15,11,35,1781,20,23,32,99.95413895895437,0.0,2081
8718,427,110,110,19,19,12,44,2120,15,31,32,92.3491626519844,0.0,3443
8718,404,144,144,22,22,17,41,1904,20,21,30,99.95411791695344,0.0,2056
8718,395,114,114,11,11,9,39,1685,19,23,30,92.2688690066529,0.0,3437
8649,429,66,66,8,8,7,28,2024,18,24,30,99.95375187882992,0.0,8510
8717,387,87,87,11,11,7,22,2114,20,15,29,99.95411265343581,0.0,2069
8718,427,98,98,9,9,8,20,1837,19,21,29,99.95411791695344,0.0,2063
8718,439,76,76,11,11,7,20,2253,17,20,28,99.95411791695344,0.0,8500
8055,393,57,57,10,10,8,12,1460,17,20,27,99.95034140285537,0.0,5246
8719,378,22,22,1,1,1,1,1680,17,16,26,92.35004014221815,0.0,8505
8718,424,145,145,19,19,11,34,1471,18,10,21,99.95411791695344,0.0,8506
6219,301,134,134,17,17,9,34,1271,13,7,18,99.93568097764914,0.0,2047
8718,170,34,34,5,5,3,7,353,7,12,9,36.338609772883686,0.0,8502
668,35,7,7,1,1,1,1,42,1,1,1,100.0,100.0,2083
