Cow,alerts,matched_within_1d,same_day,mean_alert_confidence,mean_matched_activity_score,mean_matched_pct_immobile,mean_matched_pct_active_mobile
8508,19,6,4,48.310526315789474,0.3055555555555556,0.17777777777777778,0.12777777777777777
2056,17,7,2,49.66470588235294,0.22142857142857145,0.29047619047619044,0.03333333333333333
5250,13,0,0,47.50769230769231,,,
3443,12,1,0,50.791666666666664,0.31666666666666665,0.3333333333333333,0.13333333333333333
2081,11,0,0,47.71818181818182,,,
8506,11,0,0,48.09090909090909,,,
2047,9,0,0,48.2,,,
3437,9,0,0,47.611111111111114,,,
5246,8,1,1,47.3375,0.125,0.6333333333333333,0.03333333333333333
2063,8,0,0,47.5625,,,
8510,7,1,0,45.74285714285714,0.2,0.2,0.0
2069,7,0,0,48.68571428571429,,,
8500,7,0,0,48.82857142857143,,,
5221,6,0,0,45.78333333333333,,,
8502,3,0,0,46.833333333333336,,,
2083,1,0,0,57.0,,,
8505,1,0,0,46.3,,,
