season,Day,n_alerts,alerted_cows,collective_alerts,cows,alerted_cow_frac
fall_2019,2019-11-12,8,8,7,"2041, 2057, 2066, 5327, 5865, 5875, 8517, 8527",0.26666666666666666
fall_2019,2019-11-13,2,2,1,"5854, 5870",0.06666666666666667
fall_2019,2019-11-14,5,5,0,"5857, 5865, 5874, 5875, 8526",0.16666666666666666
fall_2019,2019-11-15,2,2,0,"2041, 2066",0.06666666666666667
fall_2019,2019-11-16,1,1,0,8536,0.03333333333333333
fall_2019,2019-11-18,4,4,0,"2041, 2062, 3444, 5865",0.13333333333333333
fall_2019,2019-11-19,2,2,1,"2062, 5871",0.06666666666666667
fall_2019,2019-11-20,4,4,3,"5870, 821, 8517, 8525",0.13333333333333333
fall_2019,2019-11-21,5,5,5,"2041, 2062, 2066, 2081, 5879",0.16666666666666666
fall_2019,2019-11-22,3,3,3,"2062, 3437, 8527",0.1
fall_2019,2019-11-23,3,3,1,"2057, 2063, 5862",0.1
fall_2019,2019-11-24,1,1,0,2057,0.03333333333333333
fall_2019,2019-11-25,6,6,6,"2041, 2081, 3437, 3444, 5865, 5879",0.2
fall_2019,2019-11-26,3,3,0,"3437, 5854, 5874",0.1
fall_2019,2019-11-27,3,3,2,"2066, 2081, 5857",0.1
fall_2019,2019-11-28,3,3,2,"2057, 5879, 8517",0.1
fall_2019,2019-11-29,4,4,4,"2062, 5865, 5879, 8527",0.13333333333333333
fall_2019,2019-11-30,2,2,0,"2063, 2081",0.06666666666666667
fall_2019,2019-12-01,2,2,0,"5871, 8517",0.06666666666666667
fall_2019,2019-12-02,7,7,0,"2062, 2081, 3444, 5862, 821, 8517, 8526",0.23333333333333334
fall_2019,2019-12-04,3,3,0,"821, 8517, 8527",0.1
fall_2019,2019-12-05,7,7,0,"2063, 2066, 5871, 5879, 821, 8501, 8517",0.23333333333333334
fall_2019,2019-12-06,1,1,0,5879,0.03333333333333333
fall_2019,2019-12-07,1,1,0,8517,0.03333333333333333
fall_2019,2019-12-09,5,5,0,"2062, 3437, 5327, 5854, 8525",0.16666666666666666
fall_2019,2019-12-10,2,2,0,"5327, 8525",0.06666666666666667
fall_2019,2019-12-11,6,6,6,"2066, 5870, 5871, 5874, 8525, 8527",0.2
fall_2019,2019-12-12,3,3,3,"3444, 5327, 5879",0.1
fall_2019,2019-12-13,6,6,3,"2062, 2063, 5865, 5872, 5875, 8525",0.2
fall_2019,2019-12-14,1,1,0,5871,0.03333333333333333
summer_2019,2019-06-05,1,1,0,5313,0.05555555555555555
summer_2019,2019-06-06,1,1,0,8520,0.05555555555555555
summer_2019,2019-06-08,1,1,0,5330,0.05555555555555555
summer_2019,2019-06-09,3,3,0,"2062, 8515, 8536",0.16666666666666666
summer_2019,2019-06-10,2,2,0,"419, 8515",0.1111111111111111
summer_2019,2019-06-11,2,2,0,"5857, 8515",0.1111111111111111
summer_2019,2019-06-12,1,1,0,2062,0.05555555555555555
summer_2019,2019-06-13,1,1,0,8536,0.05555555555555555
summer_2019,2019-06-14,4,4,0,"2062, 419, 5313, 5871",0.2222222222222222
summer_2019,2019-06-15,1,1,0,8515,0.05555555555555555
summer_2019,2019-06-17,2,2,0,"8525, 8536",0.1111111111111111
