season,Cow,total_notifications,collective_flagged,herd_specific_signal,mean_lame_confidence,A_individuelle_prioritaire,B_individuelle_a_verifier,C_probable_evenement_collectif,D_qualite_ou_contexte_insuffisant
fall_2019,2062,8,4,4,54.262499999999996,0,4,4,0
fall_2019,8517,8,3,0,49.3875,0,5,3,0
fall_2019,5879,7,5,1,49.785714285714285,0,2,5,0
fall_2019,2066,6,4,1,49.68333333333334,0,2,4,0
fall_2019,5865,6,3,2,48.1,0,3,3,0
fall_2019,2041,5,3,0,49.62,0,2,3,0
fall_2019,2081,5,3,2,47.3,0,2,3,0
fall_2019,5871,5,1,2,49.22,2,2,1,0
fall_2019,8525,5,1,0,44.46,0,4,1,0
fall_2019,8527,5,4,0,48.2,0,1,4,0
fall_2019,2057,4,1,0,48.575,0,3,1,0
fall_2019,2063,4,2,1,45.9,0,2,2,0
fall_2019,3437,4,2,3,52.400000000000006,2,0,2,0
fall_2019,3444,4,2,2,50.775,0,2,2,0
fall_2019,5327,4,1,2,50.425,2,1,1,0
fall_2019,821,4,1,2,48.975,1,2,1,0
fall_2019,5854,3,1,0,48.166666666666664,0,2,1,0
fall_2019,5870,3,2,1,46.23333333333333,0,1,2,0
fall_2019,5874,3,1,0,53.56666666666666,0,2,1,0
fall_2019,5875,3,2,2,50.833333333333336,0,1,2,0
fall_2019,5857,2,0,0,51.5,0,2,0,0
fall_2019,5862,2,0,0,45.0,0,2,0,0
fall_2019,8526,2,0,1,45.45,0,2,0,0
fall_2019,5872,1,1,0,50.0,0,0,1,0
fall_2019,8501,1,0,0,33.1,0,1,0,0
fall_2019,8536,1,0,0,47.3,0,1,0,0
fall_2021,2041,1,0,0,48.1,0,1,0,0
fall_2021,8089,1,0,0,49.4,0,1,0,0
fall_2021,8557,1,0,0,57.3,0,1,0,0
fall_2021,8562,1,0,0,58.1,0,1,0,0
summer_2019,2062,17,0,3,46.95294117647059,1,16,0,0
summer_2019,419,11,1,5,47.709090909090904,3,7,1,0
summer_2019,5258,11,0,2,50.83636363636364,2,9,0,0
summer_2019,5871,10,2,3,46.2,2,6,2,0
summer_2019,8520,10,2,1,47.06,0,8,2,0
summer_2019,8536,10,2,4,47.589999999999996,2,6,2,0
summer_2019,5313,9,1,0,42.51111111111111,0,8,1,0
summer_2019,5857,9,3,6,45.87777777777777,3,3,3,0
summer_2019,5322,7,0,0,43.48571428571428,0,7,0,0
summer_2019,8515,7,0,0,45.1,0,7,0,0
summer_2019,5854,6,2,2,50.98333333333333,2,2,2,0
summer_2019,5862,5,2,0,45.62,0,3,2,0
summer_2019,5330,4,0,0,48.425,0,4,0,0
summer_2019,5865,4,1,0,48.775,0,3,1,0
summer_2019,5169,3,0,0,47.0,0,3,0,0
summer_2019,5214,2,1,2,46.65,1,0,1,0
summer_2019,8525,2,0,0,43.150000000000006,0,2,0,0
winter_2019,8508,19,8,6,48.310526315789474,4,7,8,0
winter_2019,2056,17,6,4,49.66470588235294,3,8,6,0
winter_2019,5250,13,6,1,47.50769230769231,0,7,6,0
winter_2019,3443,12,7,6,50.791666666666664,4,1,7,0
winter_2019,2081,11,7,0,47.71818181818182,0,4,7,0
winter_2019,8506,11,10,3,48.09090909090909,0,1,10,0
winter_2019,2047,9,9,1,48.2,0,0,9,0
winter_2019,3437,9,6,2,47.611111111111114,0,3,6,0
winter_2019,2063,8,7,0,47.5625,0,1,7,0
winter_2019,5246,8,7,0,47.3375,0,1,7,0
winter_2019,2069,7,6,3,48.68571428571429,0,1,6,0
winter_2019,8500,7,4,4,48.82857142857143,1,2,4,0
winter_2019,8510,7,4,2,45.74285714285714,0,3,4,0
winter_2019,5221,6,2,0,45.78333333333333,0,4,2,0
winter_2019,8502,3,0,1,46.833333333333336,1,2,0,0
winter_2019,2083,1,0,1,57.0,1,0,0,0
winter_2019,8505,1,0,0,46.3,0,1,0,0
