n_bins,if_anomaly_points,problem_points,lameness_points,problem_starts,lameness_starts,lameness_notifs,critique_points,coverage_mean,coverage_min,Cow
8922,582,224,224,18,18,17,19,100.0,100.0,2062
7492,467,92,92,19,19,11,15,100.0,100.0,5258
8920,549,89,89,13,13,11,13,100.0,100.0,419
8921,477,47,47,15,15,10,8,100.0,100.0,8536
8921,531,97,97,13,13,10,11,100.0,100.0,5871
8920,503,53,53,12,12,10,10,100.0,100.0,8520
8921,552,96,96,12,12,9,12,100.0,100.0,5313
8920,564,58,58,10,10,9,4,97.72421524663677,0.0,5857
8920,569,26,26,10,10,7,6,92.62331838565022,0.0,5322
8925,526,74,74,10,10,7,7,100.0,100.0,8515
7482,395,27,27,7,7,6,6,100.0,100.0,5854
8919,548,44,44,5,5,5,2,100.0,100.0,5862
8921,425,28,28,7,7,4,7,92.52325972424616,0.0,5330
8921,549,26,26,5,5,4,7,100.0,100.0,5865
4803,207,26,26,3,3,3,3,100.0,100.0,5169
1923,133,28,28,4,4,2,6,100.0,100.0,5214
8919,428,10,10,3,3,2,2,90.39129947303509,0.0,8525
1441,76,0,0,0,0,0,0,100.0,100.0,2067
