Cow,T,if_anomaly_point,pred_problem_episode,pred_problem_start,pred_lameness_episode,pred_lameness_start,notif_lameness,lame_confidence,coverage_pct
2062,2019-06-09 09:15:00,1,1,1,1,1,1,46.2,100.0
2062,2019-06-12 07:15:00,1,1,1,1,1,1,50.1,100.0
2062,2019-06-14 09:00:00,1,1,1,1,1,1,47.5,100.0
2062,2019-06-21 07:00:00,0,1,1,1,1,1,45.8,100.0
2062,2019-06-24 10:15:00,1,1,1,1,1,1,56.5,100.0
2062,2019-06-26 08:15:00,1,1,1,1,1,1,46.7,100.0
2062,2019-07-23 07:15:00,0,1,1,1,1,1,40.8,100.0
2062,2019-07-26 07:00:00,0,1,1,1,1,1,42.9,100.0
2062,2019-08-15 09:30:00,0,1,1,1,1,1,48.0,100.0
2062,2019-08-21 09:00:00,1,1,1,1,1,1,47.2,100.0
2062,2019-08-24 09:30:00,1,1,1,1,1,1,48.5,100.0
2062,2019-08-26 10:45:00,0,1,1,1,1,1,42.3,100.0
2062,2019-08-27 09:00:00,1,1,1,1,1,1,47.1,100.0
2062,2019-08-28 07:15:00,1,1,1,1,1,1,50.7,100.0
2062,2019-08-29 08:15:00,0,1,1,1,1,1,47.2,100.0
2062,2019-08-31 19:00:00,0,1,1,1,1,1,44.8,100.0
2062,2019-09-03 07:00:00,0,1,1,1,1,1,45.9,100.0
419,2019-06-10 17:30:00,0,1,1,1,1,1,45.1,100.0
419,2019-06-14 12:15:00,1,1,1,1,1,1,56.4,100.0
419,2019-07-01 13:00:00,1,1,1,1,1,1,50.7,100.0
419,2019-07-10 15:00:00,1,1,1,1,1,1,49.6,100.0
419,2019-07-18 12:00:00,1,1,1,1,1,1,47.6,100.0
419,2019-07-24 14:00:00,0,1,1,1,1,1,36.8,100.0
419,2019-08-08 14:30:00,1,1,1,1,1,1,51.6,100.0
419,2019-08-13 13:15:00,1,1,1,1,1,1,49.0,100.0
419,2019-08-14 16:45:00,0,1,1,1,1,1,44.9,100.0
419,2019-08-15 12:15:00,1,1,1,1,1,1,46.3,100.0
419,2019-08-16 11:15:00,1,1,1,1,1,1,46.8,100.0
5169,2019-06-26 15:15:00,0,1,1,1,1,1,43.3,100.0
5169,2019-06-27 13:00:00,0,1,1,1,1,1,47.7,100.0
5169,2019-06-28 11:45:00,1,1,1,1,1,1,50.0,100.0
5214,2019-07-11 06:15:00,1,1,1,1,1,1,46.3,100.0
5214,2019-07-19 06:30:00,1,1,1,1,1,1,47.0,100.0
5258,2019-06-21 12:30:00,1,1,1,1,1,1,57.0,100.0
5258,2019-06-25 07:30:00,1,1,1,1,1,1,47.3,100.0
5258,2019-06-27 12:15:00,1,1,1,1,1,1,50.1,100.0
5258,2019-07-05 14:45:00,0,1,1,1,1,1,35.1,100.0
5258,2019-07-08 13:30:00,1,1,1,1,1,1,58.3,100.0
5258,2019-07-09 12:00:00,1,1,1,1,1,1,57.2,100.0
5258,2019-07-10 12:30:00,1,1,1,1,1,1,58.0,100.0
5258,2019-07-30 16:15:00,1,1,1,1,1,1,51.5,100.0
5258,2019-08-11 07:30:00,0,1,1,1,1,1,47.9,100.0
5258,2019-08-15 12:45:00,1,1,1,1,1,1,48.5,100.0
5258,2019-08-17 10:15:00,1,1,1,1,1,1,48.3,100.0
5313,2019-06-05 21:00:00,1,1,1,1,1,1,47.2,100.0
5313,2019-06-14 07:30:00,1,1,1,1,1,1,46.5,100.0
5313,2019-07-17 00:15:00,1,1,1,1,1,1,48.8,100.0
5313,2019-07-24 04:45:00,0,1,1,1,1,1,39.9,100.0
5313,2019-08-03 22:30:00,0,1,1,1,1,1,37.5,100.0
5313,2019-08-04 18:15:00,0,1,1,1,1,1,43.1,100.0
5313,2019-08-06 22:30:00,1,1,1,1,1,1,47.5,100.0
5313,2019-08-09 00:15:00,0,1,1,1,1,1,39.7,100.0
5313,2019-08-19 03:00:00,0,1,1,1,1,1,32.4,100.0
5322,2019-06-20 23:45:00,0,1,1,1,1,1,37.6,100.0
5322,2019-07-03 00:15:00,1,1,1,1,1,1,48.0,100.0
5322,2019-08-06 22:30:00,1,1,1,1,1,1,49.2,100.0
5322,2019-08-08 19:15:00,1,1,1,1,1,1,46.8,100.0
5322,2019-08-12 23:30:00,0,1,1,1,1,1,37.0,100.0
5322,2019-08-15 22:30:00,1,1,1,1,1,1,47.3,100.0
5322,2019-08-30 22:15:00,0,1,1,1,1,1,38.5,100.0
5330,2019-06-08 14:30:00,1,1,1,1,1,1,49.5,100.0
