Cow,Start,End,Steps,Motion Index,Lying Time,Standing Time,Transitions,Transitions Up,Transitions Down
2062,2019-06-05 13:00:00,2019-06-05 13:15:00,10,27,0:04:23,0:10:37,2,1,1
2062,2019-06-05 13:15:00,2019-06-05 13:30:00,9,20,0:00:12,0:14:48,5,2,3
2062,2019-06-05 13:30:00,2019-06-05 13:45:00,9,17,0:00:12,0:14:48,2,1,1
2062,2019-06-05 13:45:00,2019-06-05 14:00:00,16,32,0:00:38,0:14:22,9,4,5
2062,2019-06-05 14:00:00,2019-06-05 14:15:00,9,19,0:00:00,0:15:00,0,0,0
2062,2019-06-05 14:15:00,2019-06-05 14:30:00,11,23,0:02:38,0:12:22,1,0,1
2062,2019-06-05 14:30:00,2019-06-05 14:45:00,10,40,0:03:24,0:11:36,0,0,0
2062,2019-06-05 14:45:00,2019-06-05 15:00:00,14,39,0:00:00,0:15:00,0,0,0
2062,2019-06-05 15:00:00,2019-06-05 15:15:00,17,29,0:00:04,0:14:56,1,0,1
2062,2019-06-05 15:15:00,2019-06-05 15:30:00,7,17,0:09:14,0:05:46,2,1,1
2062,2019-06-05 15:30:00,2019-06-05 15:45:00,13,57,0:02:58,0:12:02,1,0,1
2062,2019-06-05 15:45:00,2019-06-05 16:00:00,11,15,0:00:10,0:14:50,2,1,1
2062,2019-06-05 16:00:00,2019-06-05 16:15:00,4,32,0:10:32,0:04:28,1,0,1
2062,2019-06-05 16:15:00,2019-06-05 16:30:00,0,5,0:15:00,0:00:00,0,0,0
2062,2019-06-05 16:30:00,2019-06-05 16:45:00,0,6,0:15:00,0:00:00,0,0,0
2062,2019-06-05 16:45:00,2019-06-05 17:00:00,4,18,0:05:53,0:09:07,0,0,0
2062,2019-06-05 17:00:00,2019-06-05 17:15:00,19,36,0:00:21,0:14:39,9,4,5
2062,2019-06-05 17:15:00,2019-06-05 17:30:00,17,38,0:00:19,0:14:41,4,2,2
2062,2019-06-05 17:30:00,2019-06-05 17:45:00,16,29,0:00:23,0:14:37,1,0,1
2062,2019-06-05 17:45:00,2019-06-05 18:00:00,7,15,0:10:13,0:04:47,1,0,1
2062,2019-06-05 18:00:00,2019-06-05 18:15:00,2,51,0:11:17,0:03:43,1,0,1
2062,2019-06-05 18:15:00,2019-06-05 18:30:00,2,7,0:12:23,0:02:37,3,1,2
2062,2019-06-05 18:30:00,2019-06-05 18:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-05 18:45:00,2019-06-05 19:00:00,5,17,0:08:45,0:06:15,1,0,1
2062,2019-06-05 19:00:00,2019-06-05 19:15:00,10,27,0:01:37,0:13:23,9,4,5
2062,2019-06-05 19:15:00,2019-06-05 19:30:00,9,14,0:00:00,0:15:00,0,0,0
2062,2019-06-05 19:30:00,2019-06-05 19:45:00,15,25,0:00:06,0:14:54,2,1,1
2062,2019-06-05 19:45:00,2019-06-05 20:00:00,15,37,0:00:36,0:14:24,8,4,4
