Date,Cow_ID,Week,Treatment_hour,Treatment_pad_size(m2),Paddock_number,Temp_7:15am_(C),Wind_speed_7:15am_(km/h),Windchill_index_7:15am,Weather_conditions,Paddock_surface_conditions,Gov_CAN_Temp_10am_(C),Gov_CAN_wind_speed_10am_(km/h),Gov_CAN_rel_humidity_10am_(%),Gov_CAN_Windchill_10am,Scan_SI,Scan_SR,Scan_SA,Scan_SW,Scan_SWR,Scan_PMH,Scan_SP,Scan_SN,Scan_W,Scan_EXI,Scan_EXW,Scan_SG,Scan_AG,Scan_ES,Scan_EW,Scan_KW,Scan_LD,Scan_EG,Scan_OT,Percentage_active,Scan_D_T,Scan_D_B,Scan_D_F,Distance_index_per_treatment_hour,Icetag_steps_per_treatment_hour1,Icetag_steps_per_treatment_hour2,Icetag_steps_2hours_total,Comments
2019-02-14 00:00:00,2056,1,2,80,8,-6,12,-11,light snow,snow,-7.3,25,68,-15,9,18,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,,2,25,3,0.5166666666666667,256,229,485,2 hour cows done technically by 12:40 but stayed until 12:48 to complete behavioral observations
2019-02-15 00:00:00,8510,1.2,1,40,14,-2.4,8.4,-6,snow,snow,2,18,71,N/A,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,4,11,0,0.36666666666666664,73,,,
2019-02-15 00:00:00,3437,1.2,1,80,16,-2.4,8.4,-6,snow,snow,2,18,71,N/A,5,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,10,1,0.4,217,,,
2019-02-15 00:00:00,8508,1.2,1,20,12,-2.4,8.4,-6,snow,snow,2,18,71,N/A,1,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,12,0,0.4,28,,,
2019-02-15 00:00:00,2081,1.2,2,60,2,-2.4,8.4,-6,snow,snow,2,18,71,N/A,3,12,0,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,,8,21,1,0.38333333333333336,72,63,135,
2019-02-15 00:00:00,3443,1.2,2,40,6,-2.4,8.4,-6,snow,snow,2,18,71,N/A,6,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,25,3,0.5166666666666667,73,145,218,
2019-02-15 00:00:00,5250,1.2,2,20,4,-2.4,8.4,-6,snow,snow,2,18,71,N/A,26,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,27,2,0.5166666666666667,169,221,390,
2019-02-22 00:00:00,5250,2,1,60,10,-5.5,9,-10,clear,snow,-4.2,16,67,-10,8,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,5,10,0.8333333333333334,84,,,
2019-02-22 00:00:00,3443,2,1,80,16,-5.5,9,-10,clear,snow,-4.2,16,67,-10,5,1,0,0,4,1,0,1,0,2,0,0,0,1,0,0,0,0,0,,6,9,0,0.3,155,,,
2019-02-22 00:00:00,8510,2,1,20,12,-5.5,9,-10,clear,snow,-4.2,16,67,-10,3,3,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,14,0,0.4666666666666667,68,,,
2019-02-22 00:00:00,2081,2,2,80,8,-5.5,9,-10,clear,snow,-4.2,16,67,-10,8,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,29,0,0.48333333333333334,88,95,183,
2019-02-22 00:00:00,2056,2,2,60,2,-5.5,9,-10,clear,snow,-4.2,16,67,-10,5,20,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,0,30,0,0.5,58,154,212,
2019-02-22 00:00:00,3437,2,2,40,6,-5.5,9,-10,clear,snow,-4.2,16,67,-10,12,6,1,0,0,4,1,0,3,0,0,2,1,0,0,0,0,0,0,,12,14,4,0.36666666666666664,158,130,288,
2019-03-07 00:00:00,8508,4,1,80,16,-19,4,-22,clear,snow,-12.8,4,54,-15,4,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,5,9,1,0.36666666666666664,130,,,
