,corr_with_icetag_steps_per_hour_norm
icetag_steps_per_hour_norm,1.0
icetag_steps_session_total,0.8150146861745377
count_active_mobile,0.4280650633599622
pct_active_mobile,0.40064542515528756
Treatment_pad_size(m2),0.2977070574463315
pct_immobile,0.2835635925082973
count_immobile,0.255862385274567
behavior_activity_score,0.10684066985171832
Treatment_hour,0.10290718824417755
Gov_CAN_rel_humidity_10am_(%),0.00543012268316491
Distance_index_per_treatment_hour,-0.0940809267012481
pct_active_immobile,-0.09523818891079983
count_active_immobile,-0.12161132527695354
count_rumination,-0.1969101833063251
Temp_7:15am_(C),-0.21409310454471941
Gov_CAN_Temp_10am_(C),-0.26756842777551887
pct_rumination,-0.3330852953616776
