Date,Cow_ID,Week,Treatment_hour,Treatment_pad_size(m2),Paddock_number,Temp_7:15am_(C),Wind_speed_7:15am_(km/h),Windchill_index_7:15am,Weather_conditions,Paddock_surface_conditions,Gov_CAN_Temp_10am_(C),Gov_CAN_wind_speed_10am_(km/h),Gov_CAN_rel_humidity_10am_(%),Gov_CAN_Windchill_10am,Scan_SI,Scan_SR,Scan_SA,Scan_SW,Scan_SWR,Scan_PMH,Scan_SP,Scan_SN,Scan_W,Scan_EXI,Scan_EXW,Scan_SG,Scan_AG,Scan_ES,Scan_EW,Scan_KW,Scan_LD,Scan_EG,Scan_OT,Percentage_active,Scan_D_T,Scan_D_B,Scan_D_F,Distance_index_per_treatment_hour,Icetag_steps_per_treatment_hour1,Icetag_steps_per_treatment_hour2,Icetag_steps_2hours_total,Comments,count_active_immobile,count_active_mobile,count_immobile,count_other,count_rumination,total_scans,pct_active_immobile,pct_active_mobile,pct_immobile,pct_other,pct_rumination,behavior_activity_score,icetag_steps_session_total,icetag_steps_per_hour_norm
2019-02-14,2056,1.0,2,80,8,-6.0,12.0,-11.0,light snow,snow,-7.3,25,68,-15.0,9,18,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,,2,25,3,0.5166666666666667,256,229.0,485.0,2 hour cows done technically by 12:40 but stayed until 12:48 to complete behavioral observations,1,2,9,0,18,30,0.03333333333333333,0.06666666666666667,0.3,0.0,0.6,0.23333333333333334,485.0,242.5
2019-02-15,8510,1.2,1,40,14,-2.4,8.4,-6.0,snow,snow,2.0,18,71,,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,4,11,0,0.36666666666666664,73,,,,0,1,0,0,14,15,0.0,0.06666666666666667,0.0,0.0,0.9333333333333333,0.3,73.0,73.0
2019-02-15,3437,1.2,1,80,16,-2.4,8.4,-6.0,snow,snow,2.0,18,71,,5,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,10,1,0.4,217,,,,0,3,5,0,7,15,0.0,0.2,0.3333333333333333,0.0,0.4666666666666667,0.31666666666666665,217.0,217.0
2019-02-15,8508,1.2,1,20,12,-2.4,8.4,-6.0,snow,snow,2.0,18,71,,1,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,12,0,0.4,28,,,,0,0,1,0,14,15,0.0,0.0,0.06666666666666667,0.0,0.9333333333333333,0.23333333333333334,28.0,28.0
2019-02-15,2081,1.2,2,60,2,-2.4,8.4,-6.0,snow,snow,2.0,18,71,,3,12,0,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,,8,21,1,0.38333333333333336,72,63.0,135.0,,2,2,8,0,18,30,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,0.6,0.25,135.0,67.5
2019-02-15,3443,1.2,2,40,6,-2.4,8.4,-6.0,snow,snow,2.0,18,71,,6,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,25,3,0.5166666666666667,73,145.0,218.0,,1,0,6,0,23,30,0.03333333333333333,0.0,0.2,0.0,0.7666666666666667,0.20833333333333334,218.0,109.0
2019-02-15,5250,1.2,2,20,4,-2.4,8.4,-6.0,snow,snow,2.0,18,71,,26,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,27,2,0.5166666666666667,169,221.0,390.0,,0,2,26,0,2,30,0.0,0.06666666666666667,0.8666666666666667,0.0,0.06666666666666667,0.08333333333333333,390.0,195.0
2019-02-22,5250,2.0,1,60,10,-5.5,9.0,-10.0,clear,snow,-4.2,16,67,-10.0,8,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,5,10,0.8333333333333334,84,,,,2,0,8,0,5,15,0.13333333333333333,0.0,0.5333333333333333,0.0,0.3333333333333333,0.15,84.0,84.0
2019-02-22,3443,2.0,1,80,16,-5.5,9.0,-10.0,clear,snow,-4.2,16,67,-10.0,5,1,0,0,4,1,0,1,0,2,0,0,0,1,0,0,0,0,0,,6,9,0,0.3,155,,,,3,2,5,0,5,15,0.2,0.13333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.31666666666666665,155.0,155.0
2019-02-22,8510,2.0,1,20,12,-5.5,9.0,-10.0,clear,snow,-4.2,16,67,-10.0,3,3,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,14,0,0.4666666666666667,68,,,,1,0,6,0,8,15,0.06666666666666667,0.0,0.4,0.0,0.5333333333333333,0.16666666666666666,68.0,68.0
